"","LRScore","ligpair","recpair","allpair","type_gene_A","type_gene_B","gene_A","gene_B","source","target","cellpair","interaction_type"
"2907",-0.118071,"Endocrine cell/TIMP2|L","Endothelial cell/ITGB1|R","Endocrine cell/TIMP2|L@Endothelial cell/ITGB1|R","Ligand","Receptor","TIMP2|L","ITGB1|R","Endocrine cell","Endothelial cell","Endocrine cell@Endothelial cell","LR"
"2908",-0.11802663,"Endocrine cell/WNT4|L","Endocrine cell/LRP6|R","Endocrine cell/WNT4|L@Endocrine cell/LRP6|R","Ligand","Receptor","WNT4|L","LRP6|R","Endocrine cell","Endocrine cell","Endocrine cell@Endocrine cell","LR"
"2909",-0.11802663,"Endocrine cell/WNT4|L","Endocrine cell/LRP6|R","Endocrine cell/WNT4|L@Endocrine cell/LRP6|R","Ligand","Receptor","WNT4|L","LRP6|R","Endocrine cell","Endocrine cell","Endocrine cell@Endocrine cell","LR"
"2910",-0.11800037,"Ductal cell type 1/LAMB2|L","Stellate cell/ITGA7|R","Ductal cell type 1/LAMB2|L@Stellate cell/ITGA7|R","Ligand","Receptor","LAMB2|L","ITGA7|R","Ductal cell type 1","Stellate cell","Ductal cell type 1@Stellate cell","LR"
"2911",-0.11794604,"Ductal cell type 1/COL18A1|L","Macrophage cell/ITGA5|R","Ductal cell type 1/COL18A1|L@Macrophage cell/ITGA5|R","Ligand","Receptor","COL18A1|L","ITGA5|R","Ductal cell type 1","Macrophage cell","Ductal cell type 1@Macrophage cell","LR"
"2912",-0.11789277,"Ductal cell type 1/LAMC1|L","Endothelial cell/ITGA1|R","Ductal cell type 1/LAMC1|L@Endothelial cell/ITGA1|R","Ligand","Receptor","LAMC1|L","ITGA1|R","Ductal cell type 1","Endothelial cell","Ductal cell type 1@Endothelial cell","LR"
"2913",-0.1178903,"Endothelial cell/LAMC1|L","Ductal cell type 2/ITGA6|R","Endothelial cell/LAMC1|L@Ductal cell type 2/ITGA6|R","Ligand","Receptor","LAMC1|L","ITGA6|R","Endothelial cell","Ductal cell type 2","Endothelial cell@Ductal cell type 2","LR"
"2914",-0.1178903,"Endothelial cell/LAMC1|L","Ductal cell type 2/ITGA6|R","Endothelial cell/LAMC1|L@Ductal cell type 2/ITGA6|R","Ligand","Receptor","LAMC1|L","ITGA6|R","Endothelial cell","Ductal cell type 2","Endothelial cell@Ductal cell type 2","LR"
"2915",-0.1178734,"Ductal cell type 1/ETV5|L","Ductal cell type 2/ERBB2|R","Ductal cell type 1/ETV5|L@Ductal cell type 2/ERBB2|R","Ligand","Receptor","ETV5|L","ERBB2|R","Ductal cell type 1","Ductal cell type 2","Ductal cell type 1@Ductal cell type 2","LR"
"2916",-0.1178608,"Stellate cell/LUM|L","Fibroblast cell/ITGB1|R","Stellate cell/LUM|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","LUM|L","ITGB1|R","Stellate cell","Fibroblast cell","Stellate cell@Fibroblast cell","LR"
"2917",-0.11784426,"Endocrine cell/VCAN|L","Fibroblast cell/ITGB1|R","Endocrine cell/VCAN|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","VCAN|L","ITGB1|R","Endocrine cell","Fibroblast cell","Endocrine cell@Fibroblast cell","LR"
"2918",-0.11778423,"Fibroblast cell/NID1|L","Endocrine cell/ITGA3|R","Fibroblast cell/NID1|L@Endocrine cell/ITGA3|R","Ligand","Receptor","NID1|L","ITGA3|R","Fibroblast cell","Endocrine cell","Fibroblast cell@Endocrine cell","LR"
"2919",-0.1177516,"Endothelial cell/ADAM17|L","Endothelial cell/ITGA5|R","Endothelial cell/ADAM17|L@Endothelial cell/ITGA5|R","Ligand","Receptor","ADAM17|L","ITGA5|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
"2920",-0.11767307,"Ductal cell type 2/ADAM10|L","Macrophage cell/TSPAN14|R","Ductal cell type 2/ADAM10|L@Macrophage cell/TSPAN14|R","Ligand","Receptor","ADAM10|L","TSPAN14|R","Ductal cell type 2","Macrophage cell","Ductal cell type 2@Macrophage cell","LR"
"2921",-0.11767003,"Macrophage cell/SPINT1|L","Ductal cell type 2/ST14|R","Macrophage cell/SPINT1|L@Ductal cell type 2/ST14|R","Ligand","Receptor","SPINT1|L","ST14|R","Macrophage cell","Ductal cell type 2","Macrophage cell@Ductal cell type 2","LR"
"2922",-0.11766426,"Macrophage cell/FN1|L","Endothelial cell/FLT4|R","Macrophage cell/FN1|L@Endothelial cell/FLT4|R","Ligand","Receptor","FN1|L","FLT4|R","Macrophage cell","Endothelial cell","Macrophage cell@Endothelial cell","LR"
"2923",-0.1176371,"Fibroblast cell/HMGB1|L","Endothelial cell/THBD|R","Fibroblast cell/HMGB1|L@Endothelial cell/THBD|R","Ligand","Receptor","HMGB1|L","THBD|R","Fibroblast cell","Endothelial cell","Fibroblast cell@Endothelial cell","LR"
"2924",-0.1176091,"Endocrine cell/TIMP2|L","Fibroblast cell/ITGB1|R","Endocrine cell/TIMP2|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","TIMP2|L","ITGB1|R","Endocrine cell","Fibroblast cell","Endocrine cell@Fibroblast cell","LR"
"2925",-0.1175928,"Endothelial cell/VIM|L","Ductal cell type 1/CD44|R","Endothelial cell/VIM|L@Ductal cell type 1/CD44|R","Ligand","Receptor","VIM|L","CD44|R","Endothelial cell","Ductal cell type 1","Endothelial cell@Ductal cell type 1","LR"
"2926",-0.1175798,"Stellate cell/FN1|L","Macrophage cell/CD44|R","Stellate cell/FN1|L@Macrophage cell/CD44|R","Ligand","Receptor","FN1|L","CD44|R","Stellate cell","Macrophage cell","Stellate cell@Macrophage cell","LR"
"2927",-0.11756425,"Ductal cell type 2/CDH1|L","Endothelial cell/ITGA2|R","Ductal cell type 2/CDH1|L@Endothelial cell/ITGA2|R","Ligand","Receptor","CDH1|L","ITGA2|R","Ductal cell type 2","Endothelial cell","Ductal cell type 2@Endothelial cell","LR"
"2928",-0.1174894,"Fibroblast cell/NID1|L","Endocrine cell/PTPRF|R","Fibroblast cell/NID1|L@Endocrine cell/PTPRF|R","Ligand","Receptor","NID1|L","PTPRF|R","Fibroblast cell","Endocrine cell","Fibroblast cell@Endocrine cell","LR"
"2929",-0.1174786,"T cell/S100A4|L","Fibroblast cell/ERBB2|R","T cell/S100A4|L@Fibroblast cell/ERBB2|R","Ligand","Receptor","S100A4|L","ERBB2|R","T cell","Fibroblast cell","T cell@Fibroblast cell","LR"
"2930",-0.1173993,"Endocrine cell/LGALS3BP|L","Endothelial cell/ITGB1|R","Endocrine cell/LGALS3BP|L@Endothelial cell/ITGB1|R","Ligand","Receptor","LGALS3BP|L","ITGB1|R","Endocrine cell","Endothelial cell","Endocrine cell@Endothelial cell","LR"
"2931",-0.1173792,"Fibroblast cell/AGRN|L","Fibroblast cell/LRP1|R","Fibroblast cell/AGRN|L@Fibroblast cell/LRP1|R","Ligand","Receptor","AGRN|L","LRP1|R","Fibroblast cell","Fibroblast cell","Fibroblast cell@Fibroblast cell","LR"
"2932",-0.11733095,"Fibroblast cell/PDGFC|L","Fibroblast cell/PDGFRA|R","Fibroblast cell/PDGFC|L@Fibroblast cell/PDGFRA|R","Ligand","Receptor","PDGFC|L","PDGFRA|R","Fibroblast cell","Fibroblast cell","Fibroblast cell@Fibroblast cell","LR"
"2933",-0.1172855,"Fibroblast cell/MXRA5|L","Fibroblast cell/AXL|R","Fibroblast cell/MXRA5|L@Fibroblast cell/AXL|R","Ligand","Receptor","MXRA5|L","AXL|R","Fibroblast cell","Fibroblast cell","Fibroblast cell@Fibroblast cell","LR"
"2934",-0.11727137,"T cell/HSPA8|L","Ductal cell type 2/LDLR|R","T cell/HSPA8|L@Ductal cell type 2/LDLR|R","Ligand","Receptor","HSPA8|L","LDLR|R","T cell","Ductal cell type 2","T cell@Ductal cell type 2","LR"
"2935",-0.1172094,"Stellate cell/COL4A1|L","Fibroblast cell/SDC1|R","Stellate cell/COL4A1|L@Fibroblast cell/SDC1|R","Ligand","Receptor","COL4A1|L","SDC1|R","Stellate cell","Fibroblast cell","Stellate cell@Fibroblast cell","LR"
"2936",-0.1172023,"Fibroblast cell/FN1|L","Ductal cell type 1/SDC2|R","Fibroblast cell/FN1|L@Ductal cell type 1/SDC2|R","Ligand","Receptor","FN1|L","SDC2|R","Fibroblast cell","Ductal cell type 1","Fibroblast cell@Ductal cell type 1","LR"
"2937",-0.11718428,"Stellate cell/JAG1|L","Ductal cell type 2/CD46|R","Stellate cell/JAG1|L@Ductal cell type 2/CD46|R","Ligand","Receptor","JAG1|L","CD46|R","Stellate cell","Ductal cell type 2","Stellate cell@Ductal cell type 2","LR"
"2938",-0.1171355,"Fibroblast cell/TIMP2|L","Macrophage cell/CD44|R","Fibroblast cell/TIMP2|L@Macrophage cell/CD44|R","Ligand","Receptor","TIMP2|L","CD44|R","Fibroblast cell","Macrophage cell","Fibroblast cell@Macrophage cell","LR"
"2939",-0.11711303,"Stellate cell/FN1|L","Stellate cell/CD44|R","Stellate cell/FN1|L@Stellate cell/CD44|R","Ligand","Receptor","FN1|L","CD44|R","Stellate cell","Stellate cell","Stellate cell@Stellate cell","LR"
"2940",-0.11708232,"Stellate cell/LAMC1|L","Ductal cell type 1/ITGB8|R","Stellate cell/LAMC1|L@Ductal cell type 1/ITGB8|R","Ligand","Receptor","LAMC1|L","ITGB8|R","Stellate cell","Ductal cell type 1","Stellate cell@Ductal cell type 1","LR"
"2941",-0.11704728,"Ductal cell type 2/FARP2|L","Endocrine cell/PLXNA2|R","Ductal cell type 2/FARP2|L@Endocrine cell/PLXNA2|R","Ligand","Receptor","FARP2|L","PLXNA2|R","Ductal cell type 2","Endocrine cell","Ductal cell type 2@Endocrine cell","LR"
"2942",-0.117034,"Endothelial cell/AGRN|L","Endothelial cell/ITGB1|R","Endothelial cell/AGRN|L@Endothelial cell/ITGB1|R","Ligand","Receptor","AGRN|L","ITGB1|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
"2943",-0.1170098,"Macrophage cell/THBS1|L","Fibroblast cell/LRP1|R","Macrophage cell/THBS1|L@Fibroblast cell/LRP1|R","Ligand","Receptor","THBS1|L","LRP1|R","Macrophage cell","Fibroblast cell","Macrophage cell@Fibroblast cell","LR"
"2944",-0.1169374,"Endocrine cell/LGALS3BP|L","Fibroblast cell/ITGB1|R","Endocrine cell/LGALS3BP|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","LGALS3BP|L","ITGB1|R","Endocrine cell","Fibroblast cell","Endocrine cell@Fibroblast cell","LR"
"2945",-0.1168916,"Fibroblast cell/COL6A2|L","Fibroblast cell/CD44|R","Fibroblast cell/COL6A2|L@Fibroblast cell/CD44|R","Ligand","Receptor","COL6A2|L","CD44|R","Fibroblast cell","Fibroblast cell","Fibroblast cell@Fibroblast cell","LR"
"2946",-0.11685931,"Fibroblast cell/APP|L","Endothelial cell/LRP10|R","Fibroblast cell/APP|L@Endothelial cell/LRP10|R","Ligand","Receptor","APP|L","LRP10|R","Fibroblast cell","Endothelial cell","Fibroblast cell@Endothelial cell","LR"
"2947",-0.1167769,"Endocrine cell/SPINT1|L","Ductal cell type 2/ST14|R","Endocrine cell/SPINT1|L@Ductal cell type 2/ST14|R","Ligand","Receptor","SPINT1|L","ST14|R","Endocrine cell","Ductal cell type 2","Endocrine cell@Ductal cell type 2","LR"
"2948",-0.1167485,"Endocrine cell/CDH1|L","Endothelial cell/PTPRM|R","Endocrine cell/CDH1|L@Endothelial cell/PTPRM|R","Ligand","Receptor","CDH1|L","PTPRM|R","Endocrine cell","Endothelial cell","Endocrine cell@Endothelial cell","LR"
"2949",-0.1166985,"Endothelial cell/HSPG2|L","Stellate cell/DAG1|R","Endothelial cell/HSPG2|L@Stellate cell/DAG1|R","Ligand","Receptor","HSPG2|L","DAG1|R","Endothelial cell","Stellate cell","Endothelial cell@Stellate cell","LR"
"2950",-0.1166689,"Fibroblast cell/TIMP2|L","Stellate cell/CD44|R","Fibroblast cell/TIMP2|L@Stellate cell/CD44|R","Ligand","Receptor","TIMP2|L","CD44|R","Fibroblast cell","Stellate cell","Fibroblast cell@Stellate cell","LR"
"2951",-0.1165722,"Endothelial cell/AGRN|L","Fibroblast cell/ITGB1|R","Endothelial cell/AGRN|L@Fibroblast cell/ITGB1|R","Ligand","Receptor","AGRN|L","ITGB1|R","Endothelial cell","Fibroblast cell","Endothelial cell@Fibroblast cell","LR"
"2952",-0.1165423,"Fibroblast cell/COL6A1|L","Ductal cell type 2/SDC1|R","Fibroblast cell/COL6A1|L@Ductal cell type 2/SDC1|R","Ligand","Receptor","COL6A1|L","SDC1|R","Fibroblast cell","Ductal cell type 2","Fibroblast cell@Ductal cell type 2","LR"
"2953",-0.11652,"Endothelial cell/SPARC|L","Endothelial cell/ENG|R","Endothelial cell/SPARC|L@Endothelial cell/ENG|R","Ligand","Receptor","SPARC|L","ENG|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
"2954",-0.1164789,"Fibroblast cell/THY1|L","Macrophage cell/ITGAX|R","Fibroblast cell/THY1|L@Macrophage cell/ITGAX|R","Ligand","Receptor","THY1|L","ITGAX|R","Fibroblast cell","Macrophage cell","Fibroblast cell@Macrophage cell","LR"
"2955",-0.11643417,"Endothelial cell/FBN1|L","Endothelial cell/ITGB1|R","Endothelial cell/FBN1|L@Endothelial cell/ITGB1|R","Ligand","Receptor","FBN1|L","ITGB1|R","Endothelial cell","Endothelial cell","Endothelial cell@Endothelial cell","LR"
"2956",-0.1164182,"Fibroblast cell/COL8A2|L","Fibroblast cell/ITGA11|R","Fibroblast cell/COL8A2|L@Fibroblast cell/ITGA11|R","Ligand","Receptor","COL8A2|L","ITGA11|R","Fibroblast cell","Fibroblast cell","Fibroblast cell@Fibroblast cell","LR"
"2957",-0.1163875,"T cell/S100A4|L","Endocrine cell/ERBB2|R","T cell/S100A4|L@Endocrine cell/ERBB2|R","Ligand","Receptor","S100A4|L","ERBB2|R","T cell","Endocrine cell","T cell@Endocrine cell","LR"
"2958",-0.11637556,"Ductal cell type 2/LAMA3|L","Fibroblast cell/DAG1|R","Ductal cell type 2/LAMA3|L@Fibroblast cell/DAG1|R","Ligand","Receptor","LAMA3|L","DAG1|R","Ductal cell type 2","Fibroblast cell","Ductal cell type 2@Fibroblast cell","LR"
