,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.9016776,0.0,Ligand,Receptor,INS,INSR,4.9016776
1,INS,INSR,Endocrine cell,Ductal cell type 2,4.3300924,0.0,Ligand,Receptor,INS,INSR,4.3300924
2,INS,INSR,Endocrine cell,Ductal cell type 1,4.3029656,0.0,Ligand,Receptor,INS,INSR,4.3029656
3,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.281397,0.0,Ligand,Receptor,INS,IGF1R,4.281397
4,INS,IGF1R,Endocrine cell,Endocrine cell,4.277042,0.0,Ligand,Receptor,INS,IGF1R,4.277042
5,INS,IGF1R,Endocrine cell,Endothelial cell,4.262353,0.0,Ligand,Receptor,INS,IGF1R,4.262353
6,INS,LILRB1,Endocrine cell,Macrophage cell,4.2436466,0.0,Ligand,Receptor,INS,LILRB1,4.2436466
7,INS,INSR,Endocrine cell,Endocrine cell,4.2322373,0.0,Ligand,Receptor,INS,INSR,4.2322373
8,INS,LILRB2,Endocrine cell,Macrophage cell,4.2246723,0.0,Ligand,Receptor,INS,LILRB2,4.2246723
9,INS,IGF1R,Endocrine cell,Ductal cell type 2,4.203357,0.0,Ligand,Receptor,INS,IGF1R,4.203357
10,IAPP,RAMP2,Endocrine cell,Endothelial cell,3.4321656,0.0,Ligand,Receptor,IAPP,RAMP2,3.4321656
11,APP,CD74,Endothelial cell,Macrophage cell,3.3446014,0.0,Ligand,Receptor,APP,CD74,3.3446014
12,B2M,CD3D,Endothelial cell,T cell,3.275143,0.0,Ligand,Receptor,B2M,CD3D,3.275143
13,B2M,CD3D,T cell,T cell,3.1983912,0.0,Ligand,Receptor,B2M,CD3D,3.1983912
14,B2M,CD3D,Macrophage cell,T cell,3.155146,0.0,Ligand,Receptor,B2M,CD3D,3.155146
15,IAPP,RAMP3,Endocrine cell,Endothelial cell,3.09805,0.0,Ligand,Receptor,IAPP,RAMP3,3.09805
