,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,LUM,ITGB1,Fibroblast cell,Stellate cell,3.4102135,0.0,Ligand,Receptor,LUM,ITGB1,3.4102135
1,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.387093,0.0,Ligand,Receptor,TIMP1,CD63,3.387093
2,TIMP1,CD63,Stellate cell,Fibroblast cell,3.3220987,0.0,Ligand,Receptor,TIMP1,CD63,3.3220987
3,LUM,ITGB1,Fibroblast cell,Fibroblast cell,3.2568102,0.0,Ligand,Receptor,LUM,ITGB1,3.2568102
4,TIMP1,CD63,Fibroblast cell,Stellate cell,3.1936855,0.0,Ligand,Receptor,TIMP1,CD63,3.1936855
5,LUM,ITGB1,Fibroblast cell,Endothelial cell,3.1799922,0.0,Ligand,Receptor,LUM,ITGB1,3.1799922
6,B2M,CD247,T cell,T cell,3.148488,0.0,Ligand,Receptor,B2M,CD247,3.148488
7,TIMP1,CD63,Stellate cell,Stellate cell,3.1286912,0.0,Ligand,Receptor,TIMP1,CD63,3.1286912
8,APP,CD74,Endothelial cell,Macrophage cell,3.084547,0.0,Ligand,Receptor,APP,CD74,3.084547
9,B2M,CD3D,T cell,T cell,3.046811,0.0,Ligand,Receptor,B2M,CD3D,3.046811
10,B2M,CD247,Macrophage cell,T cell,3.0017204,0.0,Ligand,Receptor,B2M,CD247,3.0017204
11,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.9988732,0.0,Ligand,Receptor,TIMP1,CD63,2.9988732
12,B2M,CD247,Stellate cell,T cell,2.967153,0.0,Ligand,Receptor,B2M,CD247,2.967153
13,TIMP1,CD63,Stellate cell,Macrophage cell,2.933879,0.0,Ligand,Receptor,TIMP1,CD63,2.933879
14,B2M,CD3D,Macrophage cell,T cell,2.9000435,0.0,Ligand,Receptor,B2M,CD3D,2.9000435
15,B2M,CD247,Ductal cell type 2,T cell,2.894571,0.0,Ligand,Receptor,B2M,CD247,2.894571
16,B2M,CD247,Endothelial cell,T cell,2.8895862,0.0,Ligand,Receptor,B2M,CD247,2.8895862
17,B2M,CD1C,T cell,Macrophage cell,2.8841383,0.0,Ligand,Receptor,B2M,CD1C,2.8841383
18,B2M,KLRC1,T cell,T cell,2.8834522,0.0,Ligand,Receptor,B2M,KLRC1,2.8834522
19,LGALS1,ITGB1,Stellate cell,Stellate cell,2.8830688,0.0,Ligand,Receptor,LGALS1,ITGB1,2.8830688
20,B2M,CD3D,Stellate cell,T cell,2.8654761,0.0,Ligand,Receptor,B2M,CD3D,2.8654761
21,TIMP1,CD63,Fibroblast cell,Endothelial cell,2.8414545,0.0,Ligand,Receptor,TIMP1,CD63,2.8414545
22,LGALS1,ITGB1,Fibroblast cell,Stellate cell,2.8139515,0.0,Ligand,Receptor,LGALS1,ITGB1,2.8139515
23,COL1A1,CD93,Fibroblast cell,Endothelial cell,2.7982454,0.0,Ligand,Receptor,COL1A1,CD93,2.7982454
24,COL1A2,CD93,Fibroblast cell,Endothelial cell,2.796495,0.0,Ligand,Receptor,COL1A2,CD93,2.796495
25,B2M,CD3D,Ductal cell type 2,T cell,2.792894,0.0,Ligand,Receptor,B2M,CD3D,2.792894
26,B2M,CD3D,Endothelial cell,T cell,2.787909,0.0,Ligand,Receptor,B2M,CD3D,2.787909
27,LGALS1,ITGB1,Macrophage cell,Stellate cell,2.7866797,0.0,Ligand,Receptor,LGALS1,ITGB1,2.7866797
28,B2M,CD3G,T cell,T cell,2.7835848,0.0,Ligand,Receptor,B2M,CD3G,2.7835848
29,TIMP1,CD63,Stellate cell,Endothelial cell,2.77646,0.0,Ligand,Receptor,TIMP1,CD63,2.77646
30,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,2.7717092,0.0,Ligand,Receptor,TIMP1,CD63,2.7717092
31,B2M,TFRC,T cell,Ductal cell type 2,2.7652962,0.002,Ligand,Receptor,B2M,TFRC,2.7652962
32,B2M,CD1C,Macrophage cell,Macrophage cell,2.7373707,0.0,Ligand,Receptor,B2M,CD1C,2.7373707
33,B2M,KLRC1,Macrophage cell,T cell,2.7366846,0.0,Ligand,Receptor,B2M,KLRC1,2.7366846
34,LGALS1,ITGB1,Stellate cell,Fibroblast cell,2.7296658,0.0,Ligand,Receptor,LGALS1,ITGB1,2.7296658
35,B2M,CD247,Fibroblast cell,T cell,2.728457,0.0,Ligand,Receptor,B2M,CD247,2.728457
36,SPARC,ENG,Fibroblast cell,Endothelial cell,2.728248,0.0,Ligand,Receptor,SPARC,ENG,2.728248
37,SPARC,ENG,Stellate cell,Endothelial cell,2.71599,0.0,Ligand,Receptor,SPARC,ENG,2.71599
38,CALM2,AQP1,Stellate cell,Endothelial cell,2.7104688,0.0,Ligand,Receptor,CALM2,AQP1,2.7104688
39,TIMP1,CD63,Stellate cell,Ductal cell type 2,2.7067146,0.0,Ligand,Receptor,TIMP1,CD63,2.7067146
40,B2M,CD1C,Stellate cell,Macrophage cell,2.7028034,0.0,Ligand,Receptor,B2M,CD1C,2.7028034
41,B2M,KLRC1,Stellate cell,T cell,2.7021172,0.0,Ligand,Receptor,B2M,KLRC1,2.7021172
42,TIMP1,CD63,Fibroblast cell,T cell,2.6915374,0.0,Ligand,Receptor,TIMP1,CD63,2.6915374
43,APP,CD74,Fibroblast cell,Macrophage cell,2.6825323,0.0,Ligand,Receptor,APP,CD74,2.6825323
44,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,2.6605482,0.0,Ligand,Receptor,LGALS1,ITGB1,2.6605482
46,LGALS1,ITGB1,Stellate cell,Endothelial cell,2.6528475,0.0,Ligand,Receptor,LGALS1,ITGB1,2.6528475
47,LUM,ITGB1,Fibroblast cell,Ductal cell type 2,2.6509602,0.0,Ligand,Receptor,LUM,ITGB1,2.6509602
48,B2M,CD3G,Macrophage cell,T cell,2.6368172,0.0,Ligand,Receptor,B2M,CD3G,2.6368172
