,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,B2M,CD3D,T cell,T cell,3.8012092,0.0,Ligand,Receptor,B2M,CD3D,3.8012092
1,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.6674342,0.0,Ligand,Receptor,TIMP1,CD63,3.6674342
2,INS,INSR,Endocrine cell,Endothelial cell,3.6421251,0.0,Ligand,Receptor,INS,INSR,3.6421251
3,B2M,CD3D,Macrophage cell,T cell,3.6055162,0.0,Ligand,Receptor,B2M,CD3D,3.6055162
4,B2M,CD3D,Endothelial cell,T cell,3.5785778,0.0,Ligand,Receptor,B2M,CD3D,3.5785778
5,PRSS1,F2R,Acinar cell,Fibroblast cell,3.4957166,0.0,Ligand,Receptor,PRSS1,F2R,3.4957166
6,APP,CD74,Endothelial cell,Macrophage cell,3.4725392,0.0,Ligand,Receptor,APP,CD74,3.4725392
7,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.4362855,0.0,Ligand,Receptor,TIMP1,CD63,3.4362855
8,APP,CD74,Ductal cell type 1,Macrophage cell,3.3929985,0.0,Ligand,Receptor,APP,CD74,3.3929985
9,TIMP1,CD63,Fibroblast cell,Stellate cell,3.3870373,0.0,Ligand,Receptor,TIMP1,CD63,3.3870373
10,B2M,CD3D,Stellate cell,T cell,3.380362,0.0,Ligand,Receptor,B2M,CD3D,3.380362
11,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.373135,0.0,Ligand,Receptor,PRSS1,F2RL3,3.373135
12,INS,INSR,Endocrine cell,Ductal cell type 2,3.357198,0.0,Ligand,Receptor,INS,INSR,3.357198
13,B2M,CD3D,Ductal cell type 2,T cell,3.3359482,0.0,Ligand,Receptor,B2M,CD3D,3.3359482
14,INS,INSR,Endocrine cell,Acinar cell,3.3334274,0.0,Ligand,Receptor,INS,INSR,3.3334274
15,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.325827,0.0,Ligand,Receptor,TIMP1,CD63,3.325827
16,PRSS1,F2R,Acinar cell,Endothelial cell,3.300981,0.0,Ligand,Receptor,PRSS1,F2R,3.300981
17,INS,INSR,Endocrine cell,Ductal cell type 1,3.2882154,0.0,Ligand,Receptor,INS,INSR,3.2882154
18,INS,INSR,Endocrine cell,Endocrine cell,3.277904,0.0,Ligand,Receptor,INS,INSR,3.277904
