,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.5125003,0.0,Ligand,Receptor,TIMP1,CD63,3.5125003
1,B2M,CD3D,T cell,T cell,3.4049854,0.0,Ligand,Receptor,B2M,CD3D,3.4049854
2,B2M,CD3D,Ductal cell type 2,T cell,3.3635273,0.0,Ligand,Receptor,B2M,CD3D,3.3635273
3,B2M,CD3D,Endothelial cell,T cell,3.3626878,0.0,Ligand,Receptor,B2M,CD3D,3.3626878
4,APP,CD74,Endothelial cell,Macrophage cell,3.3126454,0.0,Ligand,Receptor,APP,CD74,3.3126454
5,TIMP1,CD63,Fibroblast cell,Stellate cell,3.3010888,0.0,Ligand,Receptor,TIMP1,CD63,3.3010888
6,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.2621856,0.0,Ligand,Receptor,TIMP1,CD63,3.2621856
7,TIMP1,CD63,Fibroblast cell,Macrophage cell,3.2175207,0.0,Ligand,Receptor,TIMP1,CD63,3.2175207
8,B2M,CD3D,Macrophage cell,T cell,3.209565,0.0,Ligand,Receptor,B2M,CD3D,3.209565
9,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.1689954,0.0,Ligand,Receptor,TIMP1,CD63,3.1689954
10,B2M,CD3D,Stellate cell,T cell,3.032018,0.0,Ligand,Receptor,B2M,CD3D,3.032018
11,TIMP1,CD63,Fibroblast cell,T cell,3.017465,0.0,Ligand,Receptor,TIMP1,CD63,3.017465
12,B2M,CD3D,Fibroblast cell,T cell,3.0077224,0.0,Ligand,Receptor,B2M,CD3D,3.0077224
13,APP,CD74,Fibroblast cell,Macrophage cell,2.9733138,0.0,Ligand,Receptor,APP,CD74,2.9733138
14,B2M,CD247,T cell,T cell,2.937615,0.0,Ligand,Receptor,B2M,CD247,2.937615
15,B2M,KLRD1,T cell,T cell,2.9345036,0.0,Ligand,Receptor,B2M,KLRD1,2.9345036
16,B2M,CD3G,T cell,T cell,2.898515,0.0,Ligand,Receptor,B2M,CD3G,2.898515
17,B2M,CD247,Ductal cell type 2,T cell,2.8961568,0.0,Ligand,Receptor,B2M,CD247,2.8961568
18,B2M,CD247,Endothelial cell,T cell,2.8953173,0.0,Ligand,Receptor,B2M,CD247,2.8953173
19,B2M,KLRD1,Ductal cell type 2,T cell,2.8930454,0.0,Ligand,Receptor,B2M,KLRD1,2.8930454
20,B2M,KLRD1,Endothelial cell,T cell,2.892206,0.0,Ligand,Receptor,B2M,KLRD1,2.892206
21,TIMP1,CD63,Stellate cell,Fibroblast cell,2.8907557,0.0,Ligand,Receptor,TIMP1,CD63,2.8907557
22,APP,CD74,Endothelial cell,Endothelial cell,2.8905678,0.0,Ligand,Receptor,APP,CD74,2.8905678
23,B2M,CD3G,Ductal cell type 2,T cell,2.8570569,0.0,Ligand,Receptor,B2M,CD3G,2.8570569
24,B2M,CD3G,Endothelial cell,T cell,2.8562174,0.0,Ligand,Receptor,B2M,CD3G,2.8562174
25,B2M,KLRC2,T cell,T cell,2.8112984,0.0,Ligand,Receptor,B2M,KLRC2,2.8112984
26,APP,CD74,Stellate cell,Macrophage cell,2.7928708,0.0,Ligand,Receptor,APP,CD74,2.7928708
28,APP,CD74,Ductal cell type 2,Macrophage cell,2.7752657,0.0,Ligand,Receptor,APP,CD74,2.7752657
29,B2M,KLRC2,Ductal cell type 2,T cell,2.7698402,0.0,Ligand,Receptor,B2M,KLRC2,2.7698402
30,B2M,KLRC2,Endothelial cell,T cell,2.7690008,0.0,Ligand,Receptor,B2M,KLRC2,2.7690008
33,B2M,CD247,Macrophage cell,T cell,2.7421944,0.0,Ligand,Receptor,B2M,CD247,2.7421944
34,B2M,KLRD1,Macrophage cell,T cell,2.739083,0.0,Ligand,Receptor,B2M,KLRD1,2.739083
35,B2M,TFRC,Ductal cell type 2,Ductal cell type 2,2.7340817,0.0,Ligand,Receptor,B2M,TFRC,2.7340817
37,B2M,LILRB2,T cell,Macrophage cell,2.731175,0.0,Ligand,Receptor,B2M,LILRB2,2.731175
38,B2M,CD1C,T cell,Macrophage cell,2.7184472,0.001,Ligand,Receptor,B2M,CD1C,2.7184472
39,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.7179866,0.0,Ligand,Receptor,LUM,ITGB1,2.7179866
42,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.7045958,0.0,Ligand,Receptor,LUM,ITGB1,2.7045958
43,B2M,CD3G,Macrophage cell,T cell,2.7030945,0.0,Ligand,Receptor,B2M,CD3G,2.7030945
46,B2M,LILRB2,Ductal cell type 2,Macrophage cell,2.6897168,0.0,Ligand,Receptor,B2M,LILRB2,2.6897168
47,B2M,LILRB2,Endothelial cell,Macrophage cell,2.6888773,0.0,Ligand,Receptor,B2M,LILRB2,2.6888773
48,HLA-B,CD3D,Endothelial cell,T cell,2.6885362,0.0,Ligand,Receptor,HLA-B,CD3D,2.6885362
49,LUM,ITGB1,Fibroblast cell,Stellate cell,2.6844726,0.0,Ligand,Receptor,LUM,ITGB1,2.6844726
50,TIMP1,CD63,Stellate cell,Stellate cell,2.6793442,0.0,Ligand,Receptor,TIMP1,CD63,2.6793442
51,HLA-A,CD3D,Endothelial cell,T cell,2.67713,0.0,Ligand,Receptor,HLA-A,CD3D,2.67713
52,B2M,CD1C,Ductal cell type 2,Macrophage cell,2.676989,0.0,Ligand,Receptor,B2M,CD1C,2.676989
53,B2M,CD1C,Endothelial cell,Macrophage cell,2.6761496,0.0,Ligand,Receptor,B2M,CD1C,2.6761496
54,HLA-A,CD3D,T cell,T cell,2.6715212,0.0,Ligand,Receptor,HLA-A,CD3D,2.6715212
55,B2M,LILRB1,T cell,Macrophage cell,2.6642637,0.003,Ligand,Receptor,B2M,LILRB1,2.6642637
56,TIMP1,CD63,Stellate cell,Ductal cell type 2,2.640441,0.0,Ligand,Receptor,TIMP1,CD63,2.640441
57,B2M,LILRB1,Ductal cell type 2,Macrophage cell,2.6228056,0.0,Ligand,Receptor,B2M,LILRB1,2.6228056
58,B2M,LILRB1,Endothelial cell,Macrophage cell,2.6219661,0.0,Ligand,Receptor,B2M,LILRB1,2.6219661
59,B2M,KLRC2,Macrophage cell,T cell,2.6158779,0.005,Ligand,Receptor,B2M,KLRC2,2.6158779
60,CALM2,AQP1,Ductal cell type 2,Endothelial cell,2.6110816,0.0,Ligand,Receptor,CALM2,AQP1,2.6110816
61,TIMP1,CD63,Stellate cell,Macrophage cell,2.595776,0.0,Ligand,Receptor,TIMP1,CD63,2.595776
63,TIMP1,CD63,Ductal cell type 2,Fibroblast cell,2.5716248,0.0,Ligand,Receptor,TIMP1,CD63,2.5716248
65,COPA,CD74,Endothelial cell,Macrophage cell,2.5646036,0.0,Ligand,Receptor,COPA,CD74,2.5646036
68,CALM2,AQP1,Stellate cell,Endothelial cell,2.5600038,0.0,Ligand,Receptor,CALM2,AQP1,2.5600038
69,APP,CD74,Fibroblast cell,Endothelial cell,2.551236,0.0,Ligand,Receptor,APP,CD74,2.551236
70,TFF2,CXCR4,Ductal cell type 2,T cell,2.5482078,0.0,Ligand,Receptor,TFF2,CXCR4,2.5482078
72,TIMP1,CD63,Stellate cell,Endothelial cell,2.5472507,0.0,Ligand,Receptor,TIMP1,CD63,2.5472507
76,HLA-B,CD3D,T cell,T cell,2.530301,0.0,Ligand,Receptor,HLA-B,CD3D,2.530301
77,TIMP1,CD63,Endothelial cell,Fibroblast cell,2.5301778,0.003,Ligand,Receptor,TIMP1,CD63,2.5301778
78,COPA,CD74,Ductal cell type 2,Macrophage cell,2.5257964,0.0,Ligand,Receptor,COPA,CD74,2.5257964
82,HLA-A,APLP2,Endothelial cell,Macrophage cell,2.5001547,0.0,Ligand,Receptor,HLA-A,APLP2,2.5001547
83,HLA-A,APLP2,T cell,Macrophage cell,2.494546,0.0,Ligand,Receptor,HLA-A,APLP2,2.494546
84,COPA,CD74,Macrophage cell,Macrophage cell,2.4915698,0.0,Ligand,Receptor,COPA,CD74,2.4915698
85,HLA-A,APLP2,Endothelial cell,Endothelial cell,2.473032,0.0,Ligand,Receptor,HLA-A,APLP2,2.473032
86,APP,CD74,Macrophage cell,Macrophage cell,2.4712224,0.0,Ligand,Receptor,APP,CD74,2.4712224
87,HLA-A,APLP2,Endothelial cell,Ductal cell type 2,2.4688857,0.0,Ligand,Receptor,HLA-A,APLP2,2.4688857
89,COPA,CD74,Fibroblast cell,Macrophage cell,2.4679487,0.0,Ligand,Receptor,COPA,CD74,2.4679487
90,HLA-A,APLP2,T cell,Endothelial cell,2.4674234,0.0,Ligand,Receptor,HLA-A,APLP2,2.4674234
92,VIM,CD44,Stellate cell,Macrophage cell,2.4659584,0.0,Ligand,Receptor,VIM,CD44,2.4659584
93,HLA-A,APLP2,T cell,Ductal cell type 2,2.463277,0.0,Ligand,Receptor,HLA-A,APLP2,2.463277
