,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.4989505,0.0,Ligand,Receptor,INS,INSR,4.4989505
1,INS,INSR,Endocrine cell,Ductal cell type 2,4.128055,0.0,Ligand,Receptor,INS,INSR,4.128055
2,INS,INSR,Endocrine cell,Endocrine cell,4.055668,0.0,Ligand,Receptor,INS,INSR,4.055668
3,INS,INSR,Endocrine cell,Macrophage cell,4.026167,0.0,Ligand,Receptor,INS,INSR,4.026167
4,INS,LILRB2,Endocrine cell,Macrophage cell,3.972352,0.0,Ligand,Receptor,INS,LILRB2,3.972352
5,INS,LILRB1,Endocrine cell,B cell,3.963172,0.0,Ligand,Receptor,INS,LILRB1,3.963172
6,INS,INSR,Endocrine cell,Stellate cell,3.9581416,0.0,Ligand,Receptor,INS,INSR,3.9581416
7,INS,INSR,Endocrine cell,Fibroblast cell,3.946204,0.0,Ligand,Receptor,INS,INSR,3.946204
8,INS,IGF1R,Endocrine cell,Endocrine cell,3.9345448,0.0,Ligand,Receptor,INS,IGF1R,3.9345448
9,INS,INSR,Endocrine cell,B cell,3.9309044,0.0,Ligand,Receptor,INS,INSR,3.9309044
10,INS,IGF1R,Endocrine cell,Ductal cell type 2,3.9029346,0.0,Ligand,Receptor,INS,IGF1R,3.9029346
11,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.3610864,0.0,Ligand,Receptor,TIMP1,CD63,3.3610864
12,B2M,CD3D,T cell,T cell,3.291704,0.0,Ligand,Receptor,B2M,CD3D,3.291704
13,INS,INSR,Ductal cell type 2,Endothelial cell,3.2446737,0.0,Ligand,Receptor,INS,INSR,3.2446737
14,INS,INSR,Macrophage cell,Endothelial cell,3.2330375,0.0,Ligand,Receptor,INS,INSR,3.2330375
15,INS,INSR,Endothelial cell,Endothelial cell,3.2100773,0.0,Ligand,Receptor,INS,INSR,3.2100773
16,INS,INSR,B cell,Endothelial cell,3.198324,0.0,Ligand,Receptor,INS,INSR,3.198324
17,INS,INSR,T cell,Endothelial cell,3.1858988,0.0,Ligand,Receptor,INS,INSR,3.1858988
18,INS,INSR,Fibroblast cell,Endothelial cell,3.1827226,0.0,Ligand,Receptor,INS,INSR,3.1827226
19,B2M,CD3D,Endothelial cell,T cell,3.1756647,0.0,Ligand,Receptor,B2M,CD3D,3.1756647
20,INS,INSR,Stellate cell,Endothelial cell,3.1681864,0.0,Ligand,Receptor,INS,INSR,3.1681864
21,B2M,CD3D,Macrophage cell,T cell,3.136434,0.0,Ligand,Receptor,B2M,CD3D,3.136434
22,B2M,CD3D,B cell,T cell,3.096716,0.0,Ligand,Receptor,B2M,CD3D,3.096716
23,B2M,CD3D,Stellate cell,T cell,3.0870495,0.0,Ligand,Receptor,B2M,CD3D,3.0870495
24,TIMP1,CD63,Fibroblast cell,Stellate cell,3.068715,0.0,Ligand,Receptor,TIMP1,CD63,3.068715
