,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TFF3,CXCR4,Endocrine cell,B cell,3.4418528,0.0,Ligand,Receptor,TFF3,CXCR4,3.4418528
1,APP,CD74,Endothelial cell,Macrophage cell,3.354643,0.0,Ligand,Receptor,APP,CD74,3.354643
2,B2M,CD3D,T cell,T cell,3.27469,0.0,Ligand,Receptor,B2M,CD3D,3.27469
3,B2M,CD3D,Macrophage cell,T cell,3.2343447,0.0,Ligand,Receptor,B2M,CD3D,3.2343447
4,B2M,CD3D,Ductal cell type 2,T cell,3.2038934,0.0,Ligand,Receptor,B2M,CD3D,3.2038934
5,COL1A2,CD93,Fibroblast cell,Endothelial cell,3.1864705,0.0,Ligand,Receptor,COL1A2,CD93,3.1864705
6,APP,CD74,Endothelial cell,B cell,3.184958,0.0,Ligand,Receptor,APP,CD74,3.184958
7,COL1A1,CD93,Fibroblast cell,Endothelial cell,3.1787512,0.0,Ligand,Receptor,COL1A1,CD93,3.1787512
8,B2M,CD3D,Stellate cell,T cell,3.1197464,0.0,Ligand,Receptor,B2M,CD3D,3.1197464
9,B2M,CD3D,Endothelial cell,T cell,3.1134863,0.0,Ligand,Receptor,B2M,CD3D,3.1134863
10,TFF3,CXCR4,Endocrine cell,T cell,3.0740612,0.0,Ligand,Receptor,TFF3,CXCR4,3.0740612
11,LUM,ITGB1,Fibroblast cell,Fibroblast cell,3.0684185,0.0,Ligand,Receptor,LUM,ITGB1,3.0684185
12,LUM,ITGB1,Fibroblast cell,Stellate cell,3.0672264,0.0,Ligand,Receptor,LUM,ITGB1,3.0672264
13,LUM,ITGB1,Fibroblast cell,Ductal cell type 2,3.0506299,0.0,Ligand,Receptor,LUM,ITGB1,3.0506299
14,APP,CD74,Fibroblast cell,Macrophage cell,3.0477214,0.0,Ligand,Receptor,APP,CD74,3.0477214
15,TIMP1,CD63,Stellate cell,Fibroblast cell,3.04686,0.0,Ligand,Receptor,TIMP1,CD63,3.04686
16,B2M,CD3D,B cell,T cell,3.0195165,0.0,Ligand,Receptor,B2M,CD3D,3.0195165
17,APP,CD74,Ductal cell type 2,Macrophage cell,3.0177414,0.0,Ligand,Receptor,APP,CD74,3.0177414
18,B2M,CD3D,Fibroblast cell,T cell,2.9550972,0.0,Ligand,Receptor,B2M,CD3D,2.9550972
19,APP,CD74,Stellate cell,Macrophage cell,2.9439478,0.0,Ligand,Receptor,APP,CD74,2.9439478
20,TFF3,CXCR4,Endocrine cell,Macrophage cell,2.9390986,0.0,Ligand,Receptor,TFF3,CXCR4,2.9390986
21,COL1A2,CD44,Fibroblast cell,Macrophage cell,2.9207053,0.0,Ligand,Receptor,COL1A2,CD44,2.9207053
