,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.68308,0.0,Ligand,Receptor,INS,INSR,4.68308
1,INS,INSR,Endocrine cell,Acinar cell,4.4798284,0.0,Ligand,Receptor,INS,INSR,4.4798284
2,INS,INSR,Endocrine cell,Macrophage cell,4.4384303,0.0,Ligand,Receptor,INS,INSR,4.4384303
3,INS,INSR,Endocrine cell,Ductal cell type 1,4.430092,0.0,Ligand,Receptor,INS,INSR,4.430092
4,INS,INSR,Endocrine cell,Fibroblast cell,4.407873,0.0,Ligand,Receptor,INS,INSR,4.407873
5,INS,IGF1R,Endocrine cell,Endocrine cell,4.378115,0.0,Ligand,Receptor,INS,IGF1R,4.378115
6,INS,INSR,Endocrine cell,Endocrine cell,4.3614025,0.0,Ligand,Receptor,INS,INSR,4.3614025
7,INS,IGF1R,Endocrine cell,Endothelial cell,4.346838,0.0,Ligand,Receptor,INS,IGF1R,4.346838
8,INS,INSR,Endocrine cell,T cell,4.341796,0.0,Ligand,Receptor,INS,INSR,4.341796
9,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.340583,0.0,Ligand,Receptor,INS,IGF1R,4.340583
10,INS,IGF1R,Endocrine cell,Acinar cell,4.3394165,0.0,Ligand,Receptor,INS,IGF1R,4.3394165
11,INS,IGF1R,Endocrine cell,Macrophage cell,4.320127,0.0,Ligand,Receptor,INS,IGF1R,4.320127
12,INS,INSR,Endocrine cell,Stellate cell,4.3157787,0.0,Ligand,Receptor,INS,INSR,4.3157787
13,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.5619757,0.0,Ligand,Receptor,PRSS1,F2RL3,3.5619757
14,PRSS1,F2R,Acinar cell,Fibroblast cell,3.5156517,0.0,Ligand,Receptor,PRSS1,F2R,3.5156517
15,B2M,CD3D,Endothelial cell,T cell,3.2773929,0.0,Ligand,Receptor,B2M,CD3D,3.2773929
16,PRSS1,F2R,Acinar cell,Endothelial cell,3.2728837,0.0,Ligand,Receptor,PRSS1,F2R,3.2728837
17,PRSS1,PARD3,Acinar cell,Fibroblast cell,3.2696815,0.0,Ligand,Receptor,PRSS1,PARD3,3.2696815
