,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.9815512,0.0,Ligand,Receptor,TIMP1,CD63,3.9815512
1,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.8027394,0.0,Ligand,Receptor,TIMP1,CD63,3.8027394
2,TIMP1,CD63,Fibroblast cell,Stellate cell,3.6512482,0.0,Ligand,Receptor,TIMP1,CD63,3.6512482
3,B2M,CD3D,T cell,T cell,3.517774,0.0,Ligand,Receptor,B2M,CD3D,3.517774
4,TIMP1,CD63,Fibroblast cell,Macrophage cell,3.4544797,0.0,Ligand,Receptor,TIMP1,CD63,3.4544797
5,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.4506063,0.0,Ligand,Receptor,TIMP1,CD63,3.4506063
6,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.4290457,0.0,Ligand,Receptor,TIMP1,CD63,3.4290457
7,TIMP1,CD63,Stellate cell,Ductal cell type 2,3.4076464,0.0,Ligand,Receptor,TIMP1,CD63,3.4076464
8,B2M,CD3D,Endothelial cell,T cell,3.3994563,0.0,Ligand,Receptor,B2M,CD3D,3.3994563
9,B2M,CD3D,Macrophage cell,T cell,3.3627656,0.0,Ligand,Receptor,B2M,CD3D,3.3627656
10,APP,CD74,Endothelial cell,Macrophage cell,3.3444407,0.0,Ligand,Receptor,APP,CD74,3.3444407
11,APP,CD74,Endothelial cell,B cell,3.3262298,0.0,Ligand,Receptor,APP,CD74,3.3262298
12,APP,CD74,Ductal cell type 1,Macrophage cell,3.2684302,0.0,Ligand,Receptor,APP,CD74,3.2684302
13,APP,CD74,Ductal cell type 1,B cell,3.2502193,0.0,Ligand,Receptor,APP,CD74,3.2502193
14,TIMP1,CD63,Fibroblast cell,Acinar cell,3.2461667,0.0,Ligand,Receptor,TIMP1,CD63,3.2461667
15,TIMP1,CD63,Fibroblast cell,Endocrine cell,3.241415,0.0,Ligand,Receptor,TIMP1,CD63,3.241415
16,TIMP1,CD63,Stellate cell,Fibroblast cell,3.2288346,0.0,Ligand,Receptor,TIMP1,CD63,3.2288346
17,B2M,CD3D,Stellate cell,T cell,3.224989,0.0,Ligand,Receptor,B2M,CD3D,3.224989
18,B2M,CD3D,Ductal cell type 2,T cell,3.1916652,0.0,Ligand,Receptor,B2M,CD3D,3.1916652
19,B2M,CD3D,B cell,T cell,3.0940933,0.0,Ligand,Receptor,B2M,CD3D,3.0940933
20,TIMP1,CD63,Stellate cell,Stellate cell,3.0773435,0.0,Ligand,Receptor,TIMP1,CD63,3.0773435
21,B2M,CD3D,Fibroblast cell,T cell,3.073325,0.0,Ligand,Receptor,B2M,CD3D,3.073325
