,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,3.6950889,0.0,Ligand,Receptor,INS,INSR,3.6950889
1,B2M,CD3D,T cell,T cell,3.5381298,0.0,Ligand,Receptor,B2M,CD3D,3.5381298
2,INS,INSR,Endocrine cell,Ductal cell type 2,3.4379447,0.0,Ligand,Receptor,INS,INSR,3.4379447
3,INS,INSR,Endocrine cell,Ductal cell type 1,3.427694,0.0,Ligand,Receptor,INS,INSR,3.427694
4,APP,CD74,Endothelial cell,Macrophage cell,3.3982837,0.0,Ligand,Receptor,APP,CD74,3.3982837
5,INS,IGF1R,Endocrine cell,Endocrine cell,3.3890176,0.0,Ligand,Receptor,INS,IGF1R,3.3890176
6,APP,CD74,Ductal cell type 1,Macrophage cell,3.3407674,0.0,Ligand,Receptor,APP,CD74,3.3407674
7,B2M,CD3D,Endothelial cell,T cell,3.2987704,0.0,Ligand,Receptor,B2M,CD3D,3.2987704
8,B2M,CD3D,Macrophage cell,T cell,3.2899215,0.0,Ligand,Receptor,B2M,CD3D,3.2899215
9,INS,LILRB2,Endocrine cell,Macrophage cell,3.2855692,0.0,Ligand,Receptor,INS,LILRB2,3.2855692
10,B2M,CD3D,B cell,T cell,3.2494497,0.0,Ligand,Receptor,B2M,CD3D,3.2494497
11,INS,INSR,Endocrine cell,Stellate cell,3.2487643,0.0,Ligand,Receptor,INS,INSR,3.2487643
12,B2M,CD3D,Stellate cell,T cell,3.2477229,0.0,Ligand,Receptor,B2M,CD3D,3.2477229
13,INS,INSR,Endocrine cell,Fibroblast cell,3.2462559,0.0,Ligand,Receptor,INS,INSR,3.2462559
14,INS,LILRB1,Endocrine cell,Macrophage cell,3.236019,0.0,Ligand,Receptor,INS,LILRB1,3.236019
15,INS,IGF1R,Endocrine cell,Endothelial cell,3.2113898,0.0,Ligand,Receptor,INS,IGF1R,3.2113898
16,INS,IGF1R,Endocrine cell,Fibroblast cell,3.2085288,0.0,Ligand,Receptor,INS,IGF1R,3.2085288
17,LUM,ITGB1,Fibroblast cell,Fibroblast cell,3.1282942,0.0,Ligand,Receptor,LUM,ITGB1,3.1282942
18,APP,CD74,Fibroblast cell,Macrophage cell,3.116991,0.0,Ligand,Receptor,APP,CD74,3.116991
19,APP,CD74,Endothelial cell,B cell,3.0949368,0.0,Ligand,Receptor,APP,CD74,3.0949368
20,APP,CD74,Ductal cell type 2,Macrophage cell,3.089621,0.0,Ligand,Receptor,APP,CD74,3.089621
21,APP,CD74,Endocrine cell,Macrophage cell,3.0879393,0.0,Ligand,Receptor,APP,CD74,3.0879393
22,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.085246,0.0,Ligand,Receptor,TIMP1,CD63,3.085246
23,LUM,ITGB1,Fibroblast cell,Stellate cell,3.0801206,0.0,Ligand,Receptor,LUM,ITGB1,3.0801206
24,B2M,CD3D,Ductal cell type 2,T cell,3.0664098,0.0,Ligand,Receptor,B2M,CD3D,3.0664098
25,B2M,CD3G,T cell,T cell,3.0375795,0.0,Ligand,Receptor,B2M,CD3G,3.0375795
26,APP,CD74,Ductal cell type 1,B cell,3.0374205,0.0,Ligand,Receptor,APP,CD74,3.0374205
27,B2M,CD3D,Fibroblast cell,T cell,3.006,0.0,Ligand,Receptor,B2M,CD3D,3.006
28,COL1A1,CD93,Fibroblast cell,Endothelial cell,2.9958496,0.0,Ligand,Receptor,COL1A1,CD93,2.9958496
29,COL1A2,CD93,Fibroblast cell,Endothelial cell,2.985365,0.0,Ligand,Receptor,COL1A2,CD93,2.985365
30,B2M,CD3D,Ductal cell type 1,T cell,2.9521718,0.0,Ligand,Receptor,B2M,CD3D,2.9521718
31,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.9359844,0.0,Ligand,Receptor,LUM,ITGB1,2.9359844
32,TIMP1,CD63,Stellate cell,Fibroblast cell,2.9269586,0.0,Ligand,Receptor,TIMP1,CD63,2.9269586
33,TIMP1,CD63,Fibroblast cell,Stellate cell,2.9254742,0.0,Ligand,Receptor,TIMP1,CD63,2.9254742
34,APP,CD74,Stellate cell,Macrophage cell,2.9203162,0.0,Ligand,Receptor,APP,CD74,2.9203162
35,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,2.8969831,0.0,Ligand,Receptor,TIMP1,CD63,2.8969831
36,HLA-B,CD3D,T cell,T cell,2.8646858,0.0,Ligand,Receptor,HLA-B,CD3D,2.8646858
37,B2M,CD247,T cell,T cell,2.862799,0.0,Ligand,Receptor,B2M,CD247,2.862799
38,COPA,CD74,Ductal cell type 1,Macrophage cell,2.843968,0.0,Ligand,Receptor,COPA,CD74,2.843968
39,COPA,CD74,Endocrine cell,Macrophage cell,2.8239937,0.0,Ligand,Receptor,COPA,CD74,2.8239937
40,B2M,CD3D,Endocrine cell,T cell,2.823012,0.002,Ligand,Receptor,B2M,CD3D,2.823012
