,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,B2M,CD3D,Macrophage cell,T cell,3.4244375,0.0,Ligand,Receptor,B2M,CD3D,3.4244375
1,B2M,CD3D,T cell,T cell,3.3488069,0.0,Ligand,Receptor,B2M,CD3D,3.3488069
2,B2M,CD3D,Stellate cell,T cell,3.304593,0.0,Ligand,Receptor,B2M,CD3D,3.304593
3,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,3.257885,0.0,Ligand,Receptor,LGALS1,ITGB1,3.257885
4,LUM,ITGB1,Fibroblast cell,Fibroblast cell,3.2166739,0.0,Ligand,Receptor,LUM,ITGB1,3.2166739
5,COL1A2,CD93,Fibroblast cell,Endothelial cell,3.2162623,0.0,Ligand,Receptor,COL1A2,CD93,3.2162623
6,LGALS1,ITGB1,Fibroblast cell,Stellate cell,3.2019129,0.0,Ligand,Receptor,LGALS1,ITGB1,3.2019129
7,COL1A1,CD93,Fibroblast cell,Endothelial cell,3.1955743,0.0,Ligand,Receptor,COL1A1,CD93,3.1955743
8,TIMP1,CD63,Stellate cell,Macrophage cell,3.1697178,0.0,Ligand,Receptor,TIMP1,CD63,3.1697178
9,B2M,KLRC1,Macrophage cell,T cell,3.1630073,0.0,Ligand,Receptor,B2M,KLRC1,3.1630073
10,TIMP1,CD63,Stellate cell,Stellate cell,3.1610618,0.0,Ligand,Receptor,TIMP1,CD63,3.1610618
11,LUM,ITGB1,Fibroblast cell,Stellate cell,3.160702,0.0,Ligand,Receptor,LUM,ITGB1,3.160702
12,TIMP1,CD63,Stellate cell,Fibroblast cell,3.1372886,0.0,Ligand,Receptor,TIMP1,CD63,3.1372886
13,B2M,KLRD1,Macrophage cell,T cell,3.1174562,0.0,Ligand,Receptor,B2M,KLRD1,3.1174562
14,B2M,KLRC1,T cell,T cell,3.0873766,0.0,Ligand,Receptor,B2M,KLRC1,3.0873766
15,B2M,CD3D,Endothelial cell,T cell,3.0770495,0.0,Ligand,Receptor,B2M,CD3D,3.0770495
16,B2M,CD3D,Fibroblast cell,T cell,3.071568,0.0,Ligand,Receptor,B2M,CD3D,3.071568
17,B2M,CD3G,Macrophage cell,T cell,3.0670414,0.0,Ligand,Receptor,B2M,CD3G,3.0670414
18,B2M,CD3D,B cell,T cell,3.0536613,0.0,Ligand,Receptor,B2M,CD3D,3.0536613
