,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,B2M,CD3D,T cell,T cell,3.5376048,0.0,Ligand,Receptor,B2M,CD3D,3.5376048
1,B2M,CD3D,Endothelial cell,T cell,3.4339428,0.0,Ligand,Receptor,B2M,CD3D,3.4339428
2,TIMP1,CD63,Stellate cell,Stellate cell,3.348566,0.0,Ligand,Receptor,TIMP1,CD63,3.348566
3,TIMP1,CD63,Stellate cell,Fibroblast cell,3.324725,0.0,Ligand,Receptor,TIMP1,CD63,3.324725
4,B2M,CD3D,Stellate cell,T cell,3.2997925,0.0,Ligand,Receptor,B2M,CD3D,3.2997925
5,INS,INSR,Endocrine cell,Endothelial cell,3.2756696,0.0,Ligand,Receptor,INS,INSR,3.2756696
6,B2M,CD3D,Macrophage cell,T cell,3.254638,0.0,Ligand,Receptor,B2M,CD3D,3.254638
7,TIMP1,CD63,Stellate cell,Ductal cell type 2,3.2063346,0.0,Ligand,Receptor,TIMP1,CD63,3.2063346
8,B2M,CD3D,Ductal cell type 1,T cell,3.1674416,0.0,Ligand,Receptor,B2M,CD3D,3.1674416
9,APP,CD74,Endothelial cell,Macrophage cell,3.163604,0.0,Ligand,Receptor,APP,CD74,3.163604
10,LGALS1,ITGB1,Fibroblast cell,Endothelial cell,3.1570466,0.0,Ligand,Receptor,LGALS1,ITGB1,3.1570466
11,COL1A1,CD93,Fibroblast cell,Endothelial cell,3.1499996,0.0,Ligand,Receptor,COL1A1,CD93,3.1499996
12,TIMP1,CD63,Stellate cell,Macrophage cell,3.1252267,0.0,Ligand,Receptor,TIMP1,CD63,3.1252267
13,B2M,CD3D,Ductal cell type 2,T cell,3.123248,0.0,Ligand,Receptor,B2M,CD3D,3.123248
14,LGALS1,ITGB1,Fibroblast cell,Stellate cell,3.1101644,0.0,Ligand,Receptor,LGALS1,ITGB1,3.1101644
15,TIMP1,CD63,Stellate cell,Ductal cell type 1,3.0819092,0.0,Ligand,Receptor,TIMP1,CD63,3.0819092
16,B2M,CD3D,Fibroblast cell,T cell,3.0723064,0.0,Ligand,Receptor,B2M,CD3D,3.0723064
