,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,COL1A1,CD44,Fibroblast cell,Macrophage cell,3.3414037,0.0,Ligand,Receptor,COL1A1,CD44,3.3414037
1,COL1A1,CD44,Fibroblast cell,Ductal cell type 1,3.2302914,0.0,Ligand,Receptor,COL1A1,CD44,3.2302914
2,TIMP1,CD63,Stellate cell,Stellate cell,3.2254367,0.0,Ligand,Receptor,TIMP1,CD63,3.2254367
3,TIMP1,CD63,Stellate cell,Ductal cell type 2,3.2245026,0.0,Ligand,Receptor,TIMP1,CD63,3.2245026
4,TIMP1,CD63,Stellate cell,Fibroblast cell,3.2147665,0.0,Ligand,Receptor,TIMP1,CD63,3.2147665
5,COL1A1,CD93,Fibroblast cell,Endothelial cell,3.2130044,0.0,Ligand,Receptor,COL1A1,CD93,3.2130044
6,TIMP1,CD63,Stellate cell,Macrophage cell,3.2092173,0.0,Ligand,Receptor,TIMP1,CD63,3.2092173
7,SPP1,CD44,Ductal cell type 1,Macrophage cell,3.1891139,0.0,Ligand,Receptor,SPP1,CD44,3.1891139
8,B2M,CD3D,Macrophage cell,T cell,3.1572626,0.0,Ligand,Receptor,B2M,CD3D,3.1572626
9,B2M,CD3D,T cell,T cell,3.1518772,0.0,Ligand,Receptor,B2M,CD3D,3.1518772
10,COL1A1,CD44,Fibroblast cell,T cell,3.1478314,0.0,Ligand,Receptor,COL1A1,CD44,3.1478314
11,B2M,CD3D,Endothelial cell,T cell,3.1466796,0.0,Ligand,Receptor,B2M,CD3D,3.1466796
12,COL1A2,CD44,Fibroblast cell,Macrophage cell,3.1423047,0.0,Ligand,Receptor,COL1A2,CD44,3.1423047
13,COL1A1,SDC1,Fibroblast cell,Fibroblast cell,3.1133585,0.0,Ligand,Receptor,COL1A1,SDC1,3.1133585
14,TIMP1,CD63,Stellate cell,Endothelial cell,3.1126738,0.0,Ligand,Receptor,TIMP1,CD63,3.1126738
15,SPP1,CD44,Ductal cell type 1,Ductal cell type 1,3.0780015,0.0,Ligand,Receptor,SPP1,CD44,3.0780015
16,TIMP1,CD63,Stellate cell,Ductal cell type 1,3.0778797,0.0,Ligand,Receptor,TIMP1,CD63,3.0778797
17,B2M,CD3D,Ductal cell type 2,T cell,3.0702574,0.0,Ligand,Receptor,B2M,CD3D,3.0702574
18,B2M,CD3D,Stellate cell,T cell,3.0482724,0.0,Ligand,Receptor,B2M,CD3D,3.0482724
19,LGALS1,ITGB1,Fibroblast cell,Stellate cell,3.047122,0.0,Ligand,Receptor,LGALS1,ITGB1,3.047122
20,B2M,CD3D,Ductal cell type 1,T cell,3.0384166,0.0,Ligand,Receptor,B2M,CD3D,3.0384166
21,COL1A2,CD44,Fibroblast cell,Ductal cell type 1,3.0311923,0.0,Ligand,Receptor,COL1A2,CD44,3.0311923
22,COL1A1,CD36,Fibroblast cell,Endothelial cell,3.02994,0.0,Ligand,Receptor,COL1A1,CD36,3.02994
23,LUM,ITGB1,Fibroblast cell,Stellate cell,3.0215836,0.0,Ligand,Receptor,LUM,ITGB1,3.0215836
24,SPINK1,EGFR,Acinar cell,Ductal cell type 1,3.0209782,0.0,Ligand,Receptor,SPINK1,EGFR,3.0209782
