,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,3.815211,0.0,Ligand,Receptor,INS,INSR,3.815211
1,B2M,CD3D,T cell,T cell,3.7649424,0.0,Ligand,Receptor,B2M,CD3D,3.7649424
2,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.7514946,0.0,Ligand,Receptor,PRSS1,F2RL3,3.7514946
3,B2M,CD3D,Macrophage cell,T cell,3.6361153,0.0,Ligand,Receptor,B2M,CD3D,3.6361153
4,B2M,CD3D,Endothelial cell,T cell,3.5654798,0.0,Ligand,Receptor,B2M,CD3D,3.5654798
5,INS,INSR,Endocrine cell,Ductal cell type 2,3.5032244,0.0,Ligand,Receptor,INS,INSR,3.5032244
6,PRSS1,F2R,Acinar cell,Fibroblast cell,3.4646013,0.0,Ligand,Receptor,PRSS1,F2R,3.4646013
7,B2M,CD3D,Stellate cell,T cell,3.4639547,0.0,Ligand,Receptor,B2M,CD3D,3.4639547
8,INS,INSR,Endocrine cell,Acinar cell,3.4605308,0.0,Ligand,Receptor,INS,INSR,3.4605308
9,B2M,CD3D,B cell,T cell,3.4550807,0.0,Ligand,Receptor,B2M,CD3D,3.4550807
10,B2M,CD3D,Ductal cell type 2,T cell,3.4442103,0.0,Ligand,Receptor,B2M,CD3D,3.4442103
11,B2M,CD3D,Endocrine cell,T cell,3.4051678,0.0,Ligand,Receptor,B2M,CD3D,3.4051678
12,INS,INSR,Endocrine cell,Endocrine cell,3.3957133,0.0,Ligand,Receptor,INS,INSR,3.3957133
13,INS,INSR,Endocrine cell,Ductal cell type 1,3.3915384,0.0,Ligand,Receptor,INS,INSR,3.3915384
14,B2M,CD3D,Fibroblast cell,T cell,3.3476114,0.0,Ligand,Receptor,B2M,CD3D,3.3476114
15,INS,INSR,Endocrine cell,Fibroblast cell,3.3467033,0.0,Ligand,Receptor,INS,INSR,3.3467033
16,B2M,CD3D,Ductal cell type 1,T cell,3.3368218,0.0,Ligand,Receptor,B2M,CD3D,3.3368218
17,INS,IGF1R,Endocrine cell,Ductal cell type 2,3.3304386,0.0,Ligand,Receptor,INS,IGF1R,3.3304386
18,INS,IGF1R,Endocrine cell,Acinar cell,3.3196523,0.0,Ligand,Receptor,INS,IGF1R,3.3196523
19,PRSS1,F2R,Acinar cell,Endothelial cell,3.3158627,0.0,Ligand,Receptor,PRSS1,F2R,3.3158627
20,INS,IGF1R,Endocrine cell,Endocrine cell,3.3116477,0.0,Ligand,Receptor,INS,IGF1R,3.3116477
21,INS,IGF1R,Endocrine cell,Ductal cell type 1,3.3115637,0.0,Ligand,Receptor,INS,IGF1R,3.3115637
22,INS,INSR,Endocrine cell,Macrophage cell,3.310424,0.0,Ligand,Receptor,INS,INSR,3.310424
23,INS,IGF1R,Endocrine cell,Endothelial cell,3.309227,0.0,Ligand,Receptor,INS,IGF1R,3.309227
24,INS,LILRB1,Endocrine cell,Macrophage cell,3.3018768,0.0,Ligand,Receptor,INS,LILRB1,3.3018768
25,CEL,CXCR4,Acinar cell,B cell,3.2886612,0.0,Ligand,Receptor,CEL,CXCR4,3.2886612
26,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.2602139,0.0,Ligand,Receptor,TIMP1,CD63,3.2602139
27,PRSS1,F2R,Acinar cell,T cell,3.2557626,0.0,Ligand,Receptor,PRSS1,F2R,3.2557626
28,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.2515855,0.0,Ligand,Receptor,PRSS1,F2RL1,3.2515855
29,PRSS1,F2RL3,Acinar cell,Endocrine cell,3.20695,0.0,Ligand,Receptor,PRSS1,F2RL3,3.20695
30,B2M,CD3G,T cell,T cell,3.200073,0.0,Ligand,Receptor,B2M,CD3G,3.200073
31,PRSS1,F2RL1,Acinar cell,Ductal cell type 2,3.1905146,0.0,Ligand,Receptor,PRSS1,F2RL1,3.1905146
32,APP,CD74,Endothelial cell,Macrophage cell,3.1904132,0.0,Ligand,Receptor,APP,CD74,3.1904132
33,PRSS1,PARD3,Acinar cell,Ductal cell type 2,3.1901865,0.0,Ligand,Receptor,PRSS1,PARD3,3.1901865
34,APP,CD74,Ductal cell type 1,Macrophage cell,3.1875005,0.0,Ligand,Receptor,APP,CD74,3.1875005
35,PRSS1,PARD3,Acinar cell,Ductal cell type 1,3.171628,0.0,Ligand,Receptor,PRSS1,PARD3,3.171628
36,PRSS1,F2RL1,Acinar cell,Acinar cell,3.1554031,0.0,Ligand,Receptor,PRSS1,F2RL1,3.1554031
37,PRSS1,F2RL3,Acinar cell,Ductal cell type 2,3.1496155,0.0,Ligand,Receptor,PRSS1,F2RL3,3.1496155
38,PRSS1,F2RL3,Acinar cell,Ductal cell type 1,3.1495488,0.0,Ligand,Receptor,PRSS1,F2RL3,3.1495488
39,PRSS1,F2RL3,Acinar cell,Acinar cell,3.1411405,0.0,Ligand,Receptor,PRSS1,F2RL3,3.1411405
40,APP,CD74,Endothelial cell,B cell,3.0912611,0.0,Ligand,Receptor,APP,CD74,3.0912611
41,APP,CD74,Ductal cell type 1,B cell,3.0883484,0.0,Ligand,Receptor,APP,CD74,3.0883484
42,LUM,ITGB1,Fibroblast cell,Stellate cell,3.083086,0.0,Ligand,Receptor,LUM,ITGB1,3.083086
43,B2M,CD3G,Macrophage cell,T cell,3.071246,0.0,Ligand,Receptor,B2M,CD3G,3.071246
44,LUM,ITGB1,Fibroblast cell,Fibroblast cell,3.0669563,0.0,Ligand,Receptor,LUM,ITGB1,3.0669563
45,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.0581574,0.0,Ligand,Receptor,TIMP1,CD63,3.0581574
46,TIMP1,CD63,Fibroblast cell,Stellate cell,3.0438333,0.0,Ligand,Receptor,TIMP1,CD63,3.0438333
47,B2M,KLRC1,T cell,T cell,3.0173583,0.0,Ligand,Receptor,B2M,KLRC1,3.0173583
48,B2M,CD247,T cell,T cell,3.0165548,0.0,Ligand,Receptor,B2M,CD247,3.0165548
49,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.0069735,0.0,Ligand,Receptor,TIMP1,CD63,3.0069735
50,B2M,CD3G,Endothelial cell,T cell,3.0006104,0.0,Ligand,Receptor,B2M,CD3G,3.0006104
51,SPINK1,EGFR,Acinar cell,Fibroblast cell,2.971896,0.0,Ligand,Receptor,SPINK1,EGFR,2.971896
52,B2M,CD3D,T cell,Endocrine cell,2.9457479,0.0,Ligand,Receptor,B2M,CD3D,2.9457479
53,SPINK1,EGFR,Acinar cell,Ductal cell type 2,2.9418695,0.0,Ligand,Receptor,SPINK1,EGFR,2.9418695
54,TIMP1,CD63,Stellate cell,Fibroblast cell,2.923173,0.0,Ligand,Receptor,TIMP1,CD63,2.923173
55,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.9225507,0.0,Ligand,Receptor,TIMP1,CD63,2.9225507
56,B2M,CD3D,Acinar cell,T cell,2.9216995,0.0,Ligand,Receptor,B2M,CD3D,2.9216995
57,SPINK1,EGFR,Acinar cell,Ductal cell type 1,2.9150298,0.0,Ligand,Receptor,SPINK1,EGFR,2.9150298
58,SPINK1,EGFR,Acinar cell,Acinar cell,2.9017885,0.0,Ligand,Receptor,SPINK1,EGFR,2.9017885
59,B2M,CD3G,Stellate cell,T cell,2.8990853,0.0,Ligand,Receptor,B2M,CD3G,2.8990853
60,APP,CD74,Ductal cell type 2,Macrophage cell,2.898944,0.0,Ligand,Receptor,APP,CD74,2.898944
61,APP,CD74,Fibroblast cell,Macrophage cell,2.8933988,0.0,Ligand,Receptor,APP,CD74,2.8933988
62,B2M,CD3G,B cell,T cell,2.8902113,0.0,Ligand,Receptor,B2M,CD3G,2.8902113
63,B2M,KLRC1,Macrophage cell,T cell,2.8885312,0.0,Ligand,Receptor,B2M,KLRC1,2.8885312
64,B2M,CD247,Macrophage cell,T cell,2.8877277,0.0,Ligand,Receptor,B2M,CD247,2.8877277
65,B2M,CD3G,Ductal cell type 2,T cell,2.879341,0.0,Ligand,Receptor,B2M,CD3G,2.879341
66,PRSS3,F2RL3,Acinar cell,Endothelial cell,2.8791845,0.0,Ligand,Receptor,PRSS3,F2RL3,2.8791845
67,INS,INSR,Ductal cell type 2,Endothelial cell,2.8681273,0.0,Ligand,Receptor,INS,INSR,2.8681273
68,INS,INSR,T cell,Endothelial cell,2.8638124,0.0,Ligand,Receptor,INS,INSR,2.8638124
69,TIMP1,CD63,Fibroblast cell,Endothelial cell,2.8623385,0.0,Ligand,Receptor,TIMP1,CD63,2.8623385
70,HMGB1,CXCR4,T cell,B cell,2.8595562,0.0,Ligand,Receptor,HMGB1,CXCR4,2.8595562
71,CEL,CXCR4,Acinar cell,Macrophage cell,2.8565462,0.0,Ligand,Receptor,CEL,CXCR4,2.8565462
72,TIMP1,CD63,Fibroblast cell,Endocrine cell,2.8529756,0.0,Ligand,Receptor,TIMP1,CD63,2.8529756
73,B2M,TFRC,T cell,Ductal cell type 2,2.8485851,0.0,Ligand,Receptor,B2M,TFRC,2.8485851
74,INS,INSR,Macrophage cell,Endothelial cell,2.8411748,0.0,Ligand,Receptor,INS,INSR,2.8411748
75,B2M,CD3G,Endocrine cell,T cell,2.8402984,0.0,Ligand,Receptor,B2M,CD3G,2.8402984
76,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.835384,0.0,Ligand,Receptor,LUM,ITGB1,2.835384
77,INS,INSR,Endothelial cell,Endothelial cell,2.8310075,0.0,Ligand,Receptor,INS,INSR,2.8310075
78,B2M,CD3D,T cell,Acinar cell,2.8198123,0.0,Ligand,Receptor,B2M,CD3D,2.8198123
79,B2M,CD3D,T cell,Ductal cell type 2,2.8184056,0.0,Ligand,Receptor,B2M,CD3D,2.8184056
80,B2M,KLRC1,Endothelial cell,T cell,2.8178957,0.0,Ligand,Receptor,B2M,KLRC1,2.8178957
81,B2M,CD247,Endothelial cell,T cell,2.8170922,0.0,Ligand,Receptor,B2M,CD247,2.8170922
82,B2M,CD3D,Macrophage cell,Endocrine cell,2.8169208,0.0,Ligand,Receptor,B2M,CD3D,2.8169208
83,INS,INSR,Fibroblast cell,Endothelial cell,2.8063195,0.0,Ligand,Receptor,INS,INSR,2.8063195
84,B2M,CD3D,T cell,Macrophage cell,2.804093,0.0,Ligand,Receptor,B2M,CD3D,2.804093
85,HLA-B,CD3D,T cell,T cell,2.8038445,0.0,Ligand,Receptor,HLA-B,CD3D,2.8038445
86,B2M,CD3D,T cell,Ductal cell type 1,2.8035343,0.0,Ligand,Receptor,B2M,CD3D,2.8035343
87,HLA-A,CD3D,T cell,T cell,2.8032176,0.0,Ligand,Receptor,HLA-A,CD3D,2.8032176
88,CEL,CXCR4,Acinar cell,T cell,2.8029613,0.0,Ligand,Receptor,CEL,CXCR4,2.8029613
89,INS,INSR,Ductal cell type 1,Endothelial cell,2.801463,0.0,Ligand,Receptor,INS,INSR,2.801463
90,B2M,CD1C,T cell,B cell,2.8003373,0.0,Ligand,Receptor,B2M,CD1C,2.8003373
91,APP,CD74,Ductal cell type 2,B cell,2.7997918,0.006,Ligand,Receptor,APP,CD74,2.7997918
92,HLA-B,CD3D,Endothelial cell,T cell,2.7997723,0.0,Ligand,Receptor,HLA-B,CD3D,2.7997723
93,B2M,CD3D,T cell,Fibroblast cell,2.7948005,0.0,Ligand,Receptor,B2M,CD3D,2.7948005
94,APP,CD74,Fibroblast cell,B cell,2.7942467,0.007,Ligand,Receptor,APP,CD74,2.7942467
