,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.3868132,0.0,Ligand,Receptor,PRSS1,F2RL3,3.3868132
1,PRSS1,F2RL3,Acinar cell,Stellate cell,3.2991276,0.0,Ligand,Receptor,PRSS1,F2RL3,3.2991276
2,PRSS1,F2R,Acinar cell,Fibroblast cell,3.2633586,0.0,Ligand,Receptor,PRSS1,F2R,3.2633586
3,PRSS1,PARD3,Acinar cell,Acinar cell,3.2033718,0.0,Ligand,Receptor,PRSS1,PARD3,3.2033718
4,PRSS1,F2RL3,Acinar cell,Endocrine cell,3.202186,0.0,Ligand,Receptor,PRSS1,F2RL3,3.202186
5,PRSS1,F2RL1,Acinar cell,Endocrine cell,3.1779108,0.0,Ligand,Receptor,PRSS1,F2RL1,3.1779108
6,APP,CD74,Endothelial cell,Macrophage cell,3.127649,0.0,Ligand,Receptor,APP,CD74,3.127649
7,APP,CD74,Ductal cell type 1,Macrophage cell,3.0349693,0.0,Ligand,Receptor,APP,CD74,3.0349693
8,APP,CD74,Stellate cell,Macrophage cell,3.0124657,0.0,Ligand,Receptor,APP,CD74,3.0124657
9,INS,INSR,Endocrine cell,Endocrine cell,2.9224775,0.0,Ligand,Receptor,INS,INSR,2.9224775
10,APP,CD74,Fibroblast cell,Macrophage cell,2.8726976,0.0,Ligand,Receptor,APP,CD74,2.8726976
11,INS,INSR,Endocrine cell,Endothelial cell,2.840568,0.0,Ligand,Receptor,INS,INSR,2.840568
12,LUM,ITGB1,Fibroblast cell,Stellate cell,2.7683635,0.0,Ligand,Receptor,LUM,ITGB1,2.7683635
13,B2M,CD1C,Endothelial cell,Macrophage cell,2.7285786,0.0,Ligand,Receptor,B2M,CD1C,2.7285786
14,B2M,TFRC,Endothelial cell,Macrophage cell,2.7050664,0.0,Ligand,Receptor,B2M,TFRC,2.7050664
15,TIMP1,CD63,Fibroblast cell,Fibroblast cell,2.702126,0.0,Ligand,Receptor,TIMP1,CD63,2.702126
16,APP,CD74,Endocrine cell,Macrophage cell,2.6670988,0.0,Ligand,Receptor,APP,CD74,2.6670988
17,INS,INSR,Endocrine cell,Stellate cell,2.6599166,0.0,Ligand,Receptor,INS,INSR,2.6599166
18,APP,CD74,Macrophage cell,Macrophage cell,2.6269505,0.0,Ligand,Receptor,APP,CD74,2.6269505
19,APP,CD74,Acinar cell,Macrophage cell,2.6262047,0.0,Ligand,Receptor,APP,CD74,2.6262047
20,INS,INSR,Endocrine cell,Acinar cell,2.6220345,0.0,Ligand,Receptor,INS,INSR,2.6220345
21,INS,INSR,Endocrine cell,Macrophage cell,2.5748272,0.0,Ligand,Receptor,INS,INSR,2.5748272
22,FBLN1,ITGB1,Fibroblast cell,Stellate cell,2.5720613,0.0,Ligand,Receptor,FBLN1,ITGB1,2.5720613
23,INS,INSR,Endocrine cell,Ductal cell type 1,2.5695224,0.0,Ligand,Receptor,INS,INSR,2.5695224
24,INS,IGF1R,Endocrine cell,Endocrine cell,2.5454953,0.0,Ligand,Receptor,INS,IGF1R,2.5454953
25,APP,CD74,Endothelial cell,Endothelial cell,2.5432148,0.0,Ligand,Receptor,APP,CD74,2.5432148
26,COPA,CD74,Stellate cell,Macrophage cell,2.5310416,0.0,Ligand,Receptor,COPA,CD74,2.5310416
27,INS,INSR,Endocrine cell,Fibroblast cell,2.5242324,0.0,Ligand,Receptor,INS,INSR,2.5242324
28,COPA,CD74,Macrophage cell,Macrophage cell,2.5124507,0.0,Ligand,Receptor,COPA,CD74,2.5124507
29,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.489582,0.0,Ligand,Receptor,LUM,ITGB1,2.489582
30,LGALS1,ITGB1,Fibroblast cell,Stellate cell,2.464983,0.0,Ligand,Receptor,LGALS1,ITGB1,2.464983
31,APP,CD74,Ductal cell type 1,Endothelial cell,2.450535,0.0,Ligand,Receptor,APP,CD74,2.450535
32,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.4467616,0.0,Ligand,Receptor,LUM,ITGB1,2.4467616
33,SPINK1,EGFR,Acinar cell,Fibroblast cell,2.4434705,0.0,Ligand,Receptor,SPINK1,EGFR,2.4434705
34,APP,CD74,Stellate cell,Endothelial cell,2.4280314,0.0,Ligand,Receptor,APP,CD74,2.4280314
35,B2M,CD1C,Macrophage cell,Macrophage cell,2.4041686,0.008,Ligand,Receptor,B2M,CD1C,2.4041686
36,DCN,EGFR,Fibroblast cell,Fibroblast cell,2.4030716,0.0,Ligand,Receptor,DCN,EGFR,2.4030716
38,DCN,TLR2,Fibroblast cell,Macrophage cell,2.374676,0.0,Ligand,Receptor,DCN,TLR2,2.374676
39,PRSS3,F2RL3,Acinar cell,Endothelial cell,2.3578672,0.0,Ligand,Receptor,PRSS3,F2RL3,2.3578672
41,APOD,LEPR,Fibroblast cell,Fibroblast cell,2.3374245,0.0,Ligand,Receptor,APOD,LEPR,2.3374245
42,S100A10,CFTR,Ductal cell type 1,Ductal cell type 1,2.3286672,0.0,Ligand,Receptor,S100A10,CFTR,2.3286672
43,TIMP1,CD63,Fibroblast cell,Endothelial cell,2.3211718,0.0,Ligand,Receptor,TIMP1,CD63,2.3211718
45,HLA-B,CANX,Endothelial cell,Endocrine cell,2.3030877,0.0,Ligand,Receptor,HLA-B,CANX,2.3030877
46,FBLN1,ITGB1,Fibroblast cell,Fibroblast cell,2.2932801,0.0,Ligand,Receptor,FBLN1,ITGB1,2.2932801
47,CEL,CXCR4,Acinar cell,Macrophage cell,2.2930958,0.0,Ligand,Receptor,CEL,CXCR4,2.2930958
48,APP,CD74,Fibroblast cell,Endothelial cell,2.2882633,0.0,Ligand,Receptor,APP,CD74,2.2882633
49,HLA-DRA,CD4,Macrophage cell,Macrophage cell,2.2816322,0.0,Ligand,Receptor,HLA-DRA,CD4,2.2816322
50,LUM,ITGB1,Fibroblast cell,Endocrine cell,2.2814064,0.0,Ligand,Receptor,LUM,ITGB1,2.2814064
51,TIMP1,CD63,Fibroblast cell,Stellate cell,2.275169,0.0,Ligand,Receptor,TIMP1,CD63,2.275169
52,LUM,ITGB1,Fibroblast cell,Ductal cell type 1,2.2722313,0.0,Ligand,Receptor,LUM,ITGB1,2.2722313
53,PRSS3,F2RL3,Acinar cell,Stellate cell,2.2701817,0.0,Ligand,Receptor,PRSS3,F2RL3,2.2701817
54,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,2.2585323,0.0,Ligand,Receptor,TIMP1,CD63,2.2585323
55,FBLN1,ITGB1,Fibroblast cell,Endothelial cell,2.2504592,0.0,Ligand,Receptor,FBLN1,ITGB1,2.2504592
56,PRSS3,F2R,Acinar cell,Fibroblast cell,2.2344127,0.0,Ligand,Receptor,PRSS3,F2R,2.2344127
57,LGALS1,ITGB1,Macrophage cell,Stellate cell,2.22824,0.0,Ligand,Receptor,LGALS1,ITGB1,2.22824
58,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.2281065,0.0,Ligand,Receptor,TIMP1,CD63,2.2281065
60,LUM,ITGB1,Fibroblast cell,Macrophage cell,2.2132332,0.0,Ligand,Receptor,LUM,ITGB1,2.2132332
61,HLA-A,APLP2,Endothelial cell,Fibroblast cell,2.2054408,0.0,Ligand,Receptor,HLA-A,APLP2,2.2054408
62,APOD,LEPR,Fibroblast cell,Stellate cell,2.1919656,0.0,Ligand,Receptor,APOD,LEPR,2.1919656
64,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,2.1862018,0.0,Ligand,Receptor,LGALS1,ITGB1,2.1862018
65,PRSS3,PARD3,Acinar cell,Acinar cell,2.1744258,0.0,Ligand,Receptor,PRSS3,PARD3,2.1744258
66,PRSS3,F2RL3,Acinar cell,Endocrine cell,2.1732402,0.0,Ligand,Receptor,PRSS3,F2RL3,2.1732402
67,PRSS3,F2RL1,Acinar cell,Endocrine cell,2.148965,0.0,Ligand,Receptor,PRSS3,F2RL1,2.148965
68,CALM2,AQP1,Fibroblast cell,Endothelial cell,2.14795,0.0,Ligand,Receptor,CALM2,AQP1,2.14795
69,LGALS1,ITGB1,Fibroblast cell,Endothelial cell,2.143381,0.0,Ligand,Receptor,LGALS1,ITGB1,2.143381
70,LUM,ITGB1,Fibroblast cell,Acinar cell,2.131537,0.0,Ligand,Receptor,LUM,ITGB1,2.131537
71,HLA-A,APLP2,Endothelial cell,Ductal cell type 1,2.1309068,0.0,Ligand,Receptor,HLA-A,APLP2,2.1309068
72,TIMP1,CD63,Fibroblast cell,Endocrine cell,2.1137311,0.0,Ligand,Receptor,TIMP1,CD63,2.1137311
73,S100A10,CFTR,Endothelial cell,Ductal cell type 1,2.1118517,0.0,Ligand,Receptor,S100A10,CFTR,2.1118517
74,CALM2,AQP1,Stellate cell,Endothelial cell,2.095114,0.0,Ligand,Receptor,CALM2,AQP1,2.095114
75,HLA-A,APLP2,Endothelial cell,Endothelial cell,2.0913393,0.0,Ligand,Receptor,HLA-A,APLP2,2.0913393
76,CALM2,AQP1,Ductal cell type 1,Endothelial cell,2.0910928,0.0,Ligand,Receptor,CALM2,AQP1,2.0910928
77,TNFSF13B,HLA-DPB1,Fibroblast cell,Macrophage cell,2.0902147,0.0,Ligand,Receptor,TNFSF13B,HLA-DPB1,2.0902147
78,LGALS1,ITGB1,Stellate cell,Stellate cell,2.0894284,0.0,Ligand,Receptor,LGALS1,ITGB1,2.0894284
79,C3,IFITM1,Fibroblast cell,Endothelial cell,2.087881,0.0,Ligand,Receptor,C3,IFITM1,2.087881
80,HLA-A,APLP2,Endothelial cell,Macrophage cell,2.0862184,0.0,Ligand,Receptor,HLA-A,APLP2,2.0862184
81,FBLN1,ITGB1,Fibroblast cell,Endocrine cell,2.0851045,0.0,Ligand,Receptor,FBLN1,ITGB1,2.0851045
83,TIMP1,CD63,Stellate cell,Fibroblast cell,2.0819626,0.0,Ligand,Receptor,TIMP1,CD63,2.0819626
84,FBLN1,ITGB1,Fibroblast cell,Ductal cell type 1,2.0759292,0.0,Ligand,Receptor,FBLN1,ITGB1,2.0759292
85,RPS19,C5AR1,Macrophage cell,Macrophage cell,2.0744734,0.0,Ligand,Receptor,RPS19,C5AR1,2.0744734
86,HLA-B,CANX,Endothelial cell,Endothelial cell,2.0613728,0.0,Ligand,Receptor,HLA-B,CANX,2.0613728
87,HLA-B,CANX,Endothelial cell,Macrophage cell,2.0589173,0.0,Ligand,Receptor,HLA-B,CANX,2.0589173
88,TNFSF13B,HLA-DPB1,Macrophage cell,Macrophage cell,2.0539813,0.0,Ligand,Receptor,TNFSF13B,HLA-DPB1,2.0539813
89,HLA-A,APLP2,Endothelial cell,Stellate cell,2.0513628,0.0,Ligand,Receptor,HLA-A,APLP2,2.0513628
92,CXCL14,CXCR4,Fibroblast cell,Macrophage cell,2.0301366,0.0,Ligand,Receptor,CXCL14,CXCR4,2.0301366
94,FBLN1,ITGB1,Fibroblast cell,Macrophage cell,2.016931,0.0,Ligand,Receptor,FBLN1,ITGB1,2.016931
95,HLA-C,NOTCH4,Endothelial cell,Endothelial cell,2.0161655,0.0,Ligand,Receptor,HLA-C,NOTCH4,2.0161655
96,LGALS1,PTPRC,Fibroblast cell,Macrophage cell,2.0123494,0.0,Ligand,Receptor,LGALS1,PTPRC,2.0123494
97,CALM2,AQP1,Macrophage cell,Endothelial cell,2.005364,0.0,Ligand,Receptor,CALM2,AQP1,2.005364
99,HLA-DPB1,CD4,Macrophage cell,Macrophage cell,2.002578,0.0,Ligand,Receptor,HLA-DPB1,CD4,2.002578
100,HLA-B,CANX,Endothelial cell,Ductal cell type 1,1.9963323,0.0,Ligand,Receptor,HLA-B,CANX,1.9963323
101,HSP90AA1,CFTR,Ductal cell type 1,Ductal cell type 1,1.9841261,0.0,Ligand,Receptor,HSP90AA1,CFTR,1.9841261
102,LGALS1,ITGB1,Fibroblast cell,Endocrine cell,1.9780262,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9780262
103,APP,RPSA,Endothelial cell,Endocrine cell,1.9751332,0.003,Ligand,Receptor,APP,RPSA,1.9751332
104,LGALS1,ITGB1,Fibroblast cell,Ductal cell type 1,1.968851,0.0,Ligand,Receptor,LGALS1,ITGB1,1.968851
105,C3,CD81,Fibroblast cell,Fibroblast cell,1.9680676,0.0,Ligand,Receptor,C3,CD81,1.9680676
106,TIMP1,CD63,Fibroblast cell,Acinar cell,1.9635414,0.0,Ligand,Receptor,TIMP1,CD63,1.9635414
107,HLA-B,CANX,Endothelial cell,Fibroblast cell,1.958069,0.0,Ligand,Receptor,HLA-B,CANX,1.958069
108,HLA-B,CANX,Endothelial cell,Acinar cell,1.9552734,0.0,Ligand,Receptor,HLA-B,CANX,1.9552734
109,LGALS1,ITGB1,Macrophage cell,Fibroblast cell,1.9494587,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9494587
110,COPA,CD74,Stellate cell,Endothelial cell,1.9466075,0.0,Ligand,Receptor,COPA,CD74,1.9466075
111,FBLN1,ITGB1,Fibroblast cell,Acinar cell,1.9352348,0.0,Ligand,Receptor,FBLN1,ITGB1,1.9352348
114,COPA,CD74,Macrophage cell,Endothelial cell,1.9280165,0.0,Ligand,Receptor,COPA,CD74,1.9280165
115,RPS19,C5AR1,Endocrine cell,Macrophage cell,1.9278973,0.007,Ligand,Receptor,RPS19,C5AR1,1.9278973
116,HLA-B,CANX,Endothelial cell,Stellate cell,1.9273503,0.0,Ligand,Receptor,HLA-B,CANX,1.9273503
117,LGALS1,ITGB1,Fibroblast cell,Macrophage cell,1.9098527,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9098527
118,LGALS1,ITGB1,Macrophage cell,Endothelial cell,1.906638,0.0,Ligand,Receptor,LGALS1,ITGB1,1.906638
119,VIM,CD44,Fibroblast cell,Ductal cell type 1,1.9035754,0.0,Ligand,Receptor,VIM,CD44,1.9035754
120,HLA-DRB1,CD4,Macrophage cell,Macrophage cell,1.9018328,0.0,Ligand,Receptor,HLA-DRB1,CD4,1.9018328
121,HMGB1,CXCR4,Stellate cell,Macrophage cell,1.8936331,0.0,Ligand,Receptor,HMGB1,CXCR4,1.8936331
122,VIM,CD44,Fibroblast cell,Macrophage cell,1.8911073,0.0,Ligand,Receptor,VIM,CD44,1.8911073
123,PRSS1,F2RL3,Endothelial cell,Endothelial cell,1.8899529,0.0,Ligand,Receptor,PRSS1,F2RL3,1.8899529
124,HMGB1,CXCR4,Endothelial cell,Macrophage cell,1.8837738,0.0,Ligand,Receptor,HMGB1,CXCR4,1.8837738
126,C3,IFITM1,Fibroblast cell,Fibroblast cell,1.8802484,0.0,Ligand,Receptor,C3,IFITM1,1.8802484
128,CALM2,AQP1,Ductal cell type 1,Ductal cell type 1,1.8760372,0.001,Ligand,Receptor,CALM2,AQP1,1.8760372
130,APOE,TREM2,Macrophage cell,Macrophage cell,1.8707843,0.0,Ligand,Receptor,APOE,TREM2,1.8707843
133,VIM,CD44,Fibroblast cell,Stellate cell,1.8520585,0.0,Ligand,Receptor,VIM,CD44,1.8520585
136,SFRP2,FZD5,Fibroblast cell,Ductal cell type 1,1.8406672,0.0,Ligand,Receptor,SFRP2,FZD5,1.8406672
137,CXCL12,ITGB1,Fibroblast cell,Stellate cell,1.840061,0.0,Ligand,Receptor,CXCL12,ITGB1,1.840061
138,CXCL12,CXCR4,Fibroblast cell,Macrophage cell,1.8385985,0.0,Ligand,Receptor,CXCL12,CXCR4,1.8385985
139,FABP5,RXRA,Endothelial cell,Stellate cell,1.838372,0.0,Ligand,Receptor,FABP5,RXRA,1.838372
140,FABP5,RXRA,Endothelial cell,Endothelial cell,1.8383613,0.0,Ligand,Receptor,FABP5,RXRA,1.8383613
143,LGALS1,ITGB1,Fibroblast cell,Acinar cell,1.8281567,0.0,Ligand,Receptor,LGALS1,ITGB1,1.8281567
144,RPS19,C5AR1,Ductal cell type 1,Macrophage cell,1.826802,0.0,Ligand,Receptor,RPS19,C5AR1,1.826802
145,TIMP1,CD63,Endocrine cell,Fibroblast cell,1.8258505,0.01,Ligand,Receptor,TIMP1,CD63,1.8258505
148,APP,RPSA,Endothelial cell,Ductal cell type 1,1.8129799,0.0,Ligand,Receptor,APP,RPSA,1.8129799
