,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.4791803,0.0,Ligand,Receptor,INS,INSR,4.4791803
1,INS,INSR,Endocrine cell,Acinar cell,4.372471,0.0,Ligand,Receptor,INS,INSR,4.372471
2,INS,IGF1R,Endocrine cell,Endocrine cell,4.3058057,0.0,Ligand,Receptor,INS,IGF1R,4.3058057
3,INS,INSR,Endocrine cell,Ductal cell type 1,4.300486,0.0,Ligand,Receptor,INS,INSR,4.300486
4,INS,INSR,Endocrine cell,Stellate cell,4.26979,0.0,Ligand,Receptor,INS,INSR,4.26979
5,INS,INSR,Endocrine cell,Endocrine cell,4.269507,0.0,Ligand,Receptor,INS,INSR,4.269507
6,INS,INSR,Endocrine cell,Fibroblast cell,4.2680244,0.0,Ligand,Receptor,INS,INSR,4.2680244
7,INS,LILRB2,Endocrine cell,Macrophage cell,4.2648153,0.0,Ligand,Receptor,INS,LILRB2,4.2648153
8,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.2645664,0.0,Ligand,Receptor,INS,IGF1R,4.2645664
9,INS,INSR,Endocrine cell,Macrophage cell,4.257924,0.0,Ligand,Receptor,INS,INSR,4.257924
10,INS,LILRB1,Endocrine cell,Macrophage cell,4.2077093,0.0,Ligand,Receptor,INS,LILRB1,4.2077093
11,PRSS1,F2RL3,Acinar cell,Endothelial cell,4.1798325,0.0,Ligand,Receptor,PRSS1,F2RL3,4.1798325
12,PRSS1,F2R,Acinar cell,Fibroblast cell,3.852258,0.0,Ligand,Receptor,PRSS1,F2R,3.852258
13,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.8026707,0.0,Ligand,Receptor,PRSS1,F2RL1,3.8026707
14,PRSS1,F2R,Acinar cell,Endothelial cell,3.7486002,0.0,Ligand,Receptor,PRSS1,F2R,3.7486002
15,PRSS1,F2RL1,Acinar cell,T cell,3.7391946,0.0,Ligand,Receptor,PRSS1,F2RL1,3.7391946
16,PRSS1,PARD3,Acinar cell,Ductal cell type 1,3.7130146,0.0,Ligand,Receptor,PRSS1,PARD3,3.7130146
17,PRSS1,PARD3,Acinar cell,Endocrine cell,3.6977503,0.0,Ligand,Receptor,PRSS1,PARD3,3.6977503
18,PRSS1,F2RL3,Acinar cell,Endocrine cell,3.6706624,0.0,Ligand,Receptor,PRSS1,F2RL3,3.6706624
19,B2M,CD3D,Endothelial cell,T cell,3.3726609,0.0,Ligand,Receptor,B2M,CD3D,3.3726609
20,APP,CD74,Endothelial cell,Macrophage cell,3.367217,0.0,Ligand,Receptor,APP,CD74,3.367217
21,CEL,CXCR4,Acinar cell,T cell,3.3286767,0.0,Ligand,Receptor,CEL,CXCR4,3.3286767
22,APP,CD74,Ductal cell type 1,Macrophage cell,3.2934256,0.0,Ligand,Receptor,APP,CD74,3.2934256
23,PRSS3,F2RL3,Acinar cell,Endothelial cell,3.18534,0.0,Ligand,Receptor,PRSS3,F2RL3,3.18534
24,B2M,CD3D,T cell,T cell,3.1812122,0.0,Ligand,Receptor,B2M,CD3D,3.1812122
25,CXCL14,CXCR4,Fibroblast cell,T cell,3.1012068,0.0,Ligand,Receptor,CXCL14,CXCR4,3.1012068
26,B2M,CD3G,Endothelial cell,T cell,3.0978012,0.0,Ligand,Receptor,B2M,CD3G,3.0978012
27,B2M,CD3D,Macrophage cell,T cell,3.0183964,0.0,Ligand,Receptor,B2M,CD3D,3.0183964
