,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Acinar cell,4.5838213,0.0,Ligand,Receptor,INS,INSR,4.5838213
1,INS,INSR,Endocrine cell,Endothelial cell,4.457715,0.0,Ligand,Receptor,INS,INSR,4.457715
2,INS,INSR,Endocrine cell,Endocrine cell,4.3736954,0.0,Ligand,Receptor,INS,INSR,4.3736954
3,INS,INSR,Endocrine cell,Ductal cell type 1,4.313536,0.0,Ligand,Receptor,INS,INSR,4.313536
4,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.2771153,0.0,Ligand,Receptor,INS,IGF1R,4.2771153
5,INS,IGF1R,Endocrine cell,Endocrine cell,4.2623744,0.0,Ligand,Receptor,INS,IGF1R,4.2623744
6,INS,IGF1R,Endocrine cell,Acinar cell,4.225923,0.0,Ligand,Receptor,INS,IGF1R,4.225923
7,INS,LILRB2,Endocrine cell,Acinar cell,4.2161975,0.0,Ligand,Receptor,INS,LILRB2,4.2161975
8,PRSS1,F2R,Acinar cell,Fibroblast cell,3.574916,0.0,Ligand,Receptor,PRSS1,F2R,3.574916
9,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.5718672,0.0,Ligand,Receptor,PRSS1,F2RL3,3.5718672
10,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.4186516,0.0,Ligand,Receptor,PRSS1,F2RL1,3.4186516
11,PRSS1,F2RL1,Acinar cell,Acinar cell,3.374281,0.0,Ligand,Receptor,PRSS1,F2RL1,3.374281
12,INS,INSR,B cell,Acinar cell,3.365355,0.006,Ligand,Receptor,INS,INSR,3.365355
13,PRSS1,F2RL3,Acinar cell,Acinar cell,3.349285,0.0,Ligand,Receptor,PRSS1,F2RL3,3.349285
14,INS,INSR,B cell,Endothelial cell,3.2392488,0.006,Ligand,Receptor,INS,INSR,3.2392488
17,APP,CD74,B cell,Macrophage cell,3.081016,0.0,Ligand,Receptor,APP,CD74,3.081016
18,APP,CD74,Endothelial cell,Macrophage cell,3.077235,0.0,Ligand,Receptor,APP,CD74,3.077235
20,APP,CD74,Ductal cell type 1,Macrophage cell,3.0570958,0.0,Ligand,Receptor,APP,CD74,3.0570958
24,B2M,CD1C,Endothelial cell,Macrophage cell,2.953101,0.0,Ligand,Receptor,B2M,CD1C,2.953101
29,CEL,CXCR4,Acinar cell,Macrophage cell,2.8572176,0.0,Ligand,Receptor,CEL,CXCR4,2.8572176
31,PRSS3,F2R,Acinar cell,Fibroblast cell,2.8341966,0.0,Ligand,Receptor,PRSS3,F2R,2.8341966
32,PRSS3,F2RL3,Acinar cell,Endothelial cell,2.831148,0.0,Ligand,Receptor,PRSS3,F2RL3,2.831148
38,APP,CD74,Acinar cell,Macrophage cell,2.7441761,0.0,Ligand,Receptor,APP,CD74,2.7441761
39,APP,CD74,Endocrine cell,Macrophage cell,2.7421932,0.0,Ligand,Receptor,APP,CD74,2.7421932
40,B2M,LILRB2,Endothelial cell,Acinar cell,2.732596,0.0,Ligand,Receptor,B2M,LILRB2,2.732596
41,B2M,KLRD1,Endothelial cell,Acinar cell,2.732596,0.0,Ligand,Receptor,B2M,KLRD1,2.732596
42,TIMP1,CD63,Fibroblast cell,Fibroblast cell,2.7304707,0.0,Ligand,Receptor,TIMP1,CD63,2.7304707
44,APP,CD74,Fibroblast cell,Macrophage cell,2.713225,0.0,Ligand,Receptor,APP,CD74,2.713225
49,PRSS3,F2RL1,Acinar cell,Ductal cell type 1,2.6779323,0.0,Ligand,Receptor,PRSS3,F2RL1,2.6779323
51,APP,CD74,Macrophage cell,Macrophage cell,2.652159,0.0,Ligand,Receptor,APP,CD74,2.652159
54,PRSS3,F2RL1,Acinar cell,Acinar cell,2.6335616,0.0,Ligand,Receptor,PRSS3,F2RL1,2.6335616
56,COPA,CD74,Endothelial cell,Macrophage cell,2.6217697,0.0,Ligand,Receptor,COPA,CD74,2.6217697
59,COPA,CD74,Fibroblast cell,Macrophage cell,2.616705,0.0,Ligand,Receptor,COPA,CD74,2.616705
60,HLA-DRA,CD4,Macrophage cell,Macrophage cell,2.6129432,0.0,Ligand,Receptor,HLA-DRA,CD4,2.6129432
61,PRSS3,F2RL3,Acinar cell,Acinar cell,2.6085656,0.0,Ligand,Receptor,PRSS3,F2RL3,2.6085656
62,COPA,CD74,Endocrine cell,Macrophage cell,2.6082656,0.0,Ligand,Receptor,COPA,CD74,2.6082656
64,COPA,CD74,Ductal cell type 1,Macrophage cell,2.6009116,0.0,Ligand,Receptor,COPA,CD74,2.6009116
68,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,2.583588,0.0,Ligand,Receptor,TIMP1,CD63,2.583588
69,TIMP1,CD63,Fibroblast cell,Endothelial cell,2.5829792,0.0,Ligand,Receptor,TIMP1,CD63,2.5829792
85,TIMP1,CD63,Fibroblast cell,Stellate cell,2.5212264,0.0,Ligand,Receptor,TIMP1,CD63,2.5212264
88,HLA-B,CANX,Endothelial cell,B cell,2.5077763,0.0,Ligand,Receptor,HLA-B,CANX,2.5077763
89,FABP5,RXRA,Endothelial cell,Acinar cell,2.4990275,0.0,Ligand,Receptor,FABP5,RXRA,2.4990275
92,S100A10,CFTR,Ductal cell type 1,Ductal cell type 1,2.484673,0.0,Ligand,Receptor,S100A10,CFTR,2.484673
95,B2M,CD1C,Macrophage cell,Macrophage cell,2.4726665,0.0,Ligand,Receptor,B2M,CD1C,2.4726665
96,APP,CD74,B cell,Endothelial cell,2.4553163,0.0,Ligand,Receptor,APP,CD74,2.4553163
97,APP,CD74,Endothelial cell,Endothelial cell,2.4515352,0.0,Ligand,Receptor,APP,CD74,2.4515352
100,APP,CD74,Ductal cell type 1,Endothelial cell,2.431396,0.0,Ligand,Receptor,APP,CD74,2.431396
101,B2M,CD1C,B cell,Macrophage cell,2.4261403,0.007,Ligand,Receptor,B2M,CD1C,2.4261403
102,LGALS1,ITGB1,Stellate cell,Stellate cell,2.4213936,0.0,Ligand,Receptor,LGALS1,ITGB1,2.4213936
103,LGALS1,ITGB1,Stellate cell,Fibroblast cell,2.4136171,0.0,Ligand,Receptor,LGALS1,ITGB1,2.4136171
104,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.4022813,0.0,Ligand,Receptor,TIMP1,CD63,2.4022813
105,HLA-DRB1,CD4,Macrophage cell,Macrophage cell,2.372918,0.0,Ligand,Receptor,HLA-DRB1,CD4,2.372918
106,LGALS1,ITGB1,Stellate cell,Endothelial cell,2.3133478,0.0,Ligand,Receptor,LGALS1,ITGB1,2.3133478
107,HLA-B,CANX,Endothelial cell,Endocrine cell,2.3012683,0.0,Ligand,Receptor,HLA-B,CANX,2.3012683
108,HLA-DPA1,CD4,Macrophage cell,Macrophage cell,2.2968035,0.0,Ligand,Receptor,HLA-DPA1,CD4,2.2968035
109,HLA-DPB1,CD4,Macrophage cell,Macrophage cell,2.2864482,0.0,Ligand,Receptor,HLA-DPB1,CD4,2.2864482
110,HSP90AA1,CFTR,Ductal cell type 1,Ductal cell type 1,2.273767,0.0,Ligand,Receptor,HSP90AA1,CFTR,2.273767
111,B2M,KLRD1,Macrophage cell,Acinar cell,2.2521615,0.001,Ligand,Receptor,B2M,KLRD1,2.2521615
112,B2M,LILRB2,Macrophage cell,Acinar cell,2.2521615,0.003,Ligand,Receptor,B2M,LILRB2,2.2521615
113,IAPP,RAMP2,Endocrine cell,Endothelial cell,2.242611,0.0,Ligand,Receptor,IAPP,RAMP2,2.242611
114,HLA-B,CANX,Endothelial cell,Macrophage cell,2.2349033,0.0,Ligand,Receptor,HLA-B,CANX,2.2349033
115,HLA-B,CANX,Endothelial cell,Endothelial cell,2.2102528,0.0,Ligand,Receptor,HLA-B,CANX,2.2102528
118,LGALS1,ITGB1,Fibroblast cell,Stellate cell,2.2030935,0.0,Ligand,Receptor,LGALS1,ITGB1,2.2030935
119,HLA-A,APLP2,Endothelial cell,Fibroblast cell,2.1963487,0.0,Ligand,Receptor,HLA-A,APLP2,2.1963487
121,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,2.1953173,0.0,Ligand,Receptor,LGALS1,ITGB1,2.1953173
122,HSP90AA1,CFTR,B cell,Ductal cell type 1,2.1837,0.0,Ligand,Receptor,HSP90AA1,CFTR,2.1837
123,S100A10,CFTR,Endothelial cell,Ductal cell type 1,2.1781216,0.0,Ligand,Receptor,S100A10,CFTR,2.1781216
124,B2M,CD1C,Stellate cell,Macrophage cell,2.175392,0.0,Ligand,Receptor,B2M,CD1C,2.175392
125,HLA-B,CANX,Endothelial cell,Ductal cell type 1,2.1742752,0.0,Ligand,Receptor,HLA-B,CANX,2.1742752
126,APOD,LEPR,Fibroblast cell,Endothelial cell,2.1692798,0.0,Ligand,Receptor,APOD,LEPR,2.1692798
127,HLA-A,APLP2,Endothelial cell,Endothelial cell,2.1561093,0.0,Ligand,Receptor,HLA-A,APLP2,2.1561093
128,HLA-A,APLP2,Endothelial cell,Ductal cell type 1,2.153398,0.0,Ligand,Receptor,HLA-A,APLP2,2.153398
129,TIMP1,CD63,Fibroblast cell,B cell,2.1448712,0.004,Ligand,Receptor,TIMP1,CD63,2.1448712
130,HLA-B,CANX,Endothelial cell,Acinar cell,2.1420176,0.0,Ligand,Receptor,HLA-B,CANX,2.1420176
131,RPS19,C5AR1,Macrophage cell,Macrophage cell,2.1356194,0.0,Ligand,Receptor,RPS19,C5AR1,2.1356194
132,TIMP1,CD63,Fibroblast cell,Endocrine cell,2.1349943,0.0,Ligand,Receptor,TIMP1,CD63,2.1349943
134,TNFSF13B,HLA-DPB1,Fibroblast cell,Macrophage cell,2.130098,0.0,Ligand,Receptor,TNFSF13B,HLA-DPB1,2.130098
135,APP,CD74,Acinar cell,Endothelial cell,2.1184764,0.0,Ligand,Receptor,APP,CD74,2.1184764
136,APP,CD74,Endocrine cell,Endothelial cell,2.1164935,0.0,Ligand,Receptor,APP,CD74,2.1164935
137,LGALS1,ITGB1,Fibroblast cell,Endothelial cell,2.0950477,0.0,Ligand,Receptor,LGALS1,ITGB1,2.0950477
138,APP,CD74,Fibroblast cell,Endothelial cell,2.0875251,0.0,Ligand,Receptor,APP,CD74,2.0875251
139,LUM,ITGB1,Fibroblast cell,Stellate cell,2.0519276,0.0,Ligand,Receptor,LUM,ITGB1,2.0519276
140,HLA-A,APLP2,Endothelial cell,Macrophage cell,2.0496852,0.0,Ligand,Receptor,HLA-A,APLP2,2.0496852
141,COL1A2,CD36,Fibroblast cell,Endothelial cell,2.0490031,0.0,Ligand,Receptor,COL1A2,CD36,2.0490031
142,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.0441513,0.0,Ligand,Receptor,LUM,ITGB1,2.0441513
143,RPS19,C5AR1,B cell,Macrophage cell,2.0340655,0.0,Ligand,Receptor,RPS19,C5AR1,2.0340655
144,CALM2,AQP1,Stellate cell,Ductal cell type 1,2.0293698,0.0,Ligand,Receptor,CALM2,AQP1,2.0293698
145,APP,CD74,Macrophage cell,Endothelial cell,2.0264592,0.0,Ligand,Receptor,APP,CD74,2.0264592
146,LGALS1,PTPRC,Stellate cell,Macrophage cell,2.024963,0.0,Ligand,Receptor,LGALS1,PTPRC,2.024963
147,LGALS1,ITGB1,Macrophage cell,Stellate cell,2.0194607,0.0,Ligand,Receptor,LGALS1,ITGB1,2.0194607
148,LGALS1,ITGB1,Macrophage cell,Fibroblast cell,2.0116842,0.0,Ligand,Receptor,LGALS1,ITGB1,2.0116842
149,HLA-B,KLRD1,Endothelial cell,Acinar cell,2.0060334,0.0,Ligand,Receptor,HLA-B,KLRD1,2.0060334
150,HLA-B,LILRB2,Endothelial cell,Acinar cell,2.0060334,0.0,Ligand,Receptor,HLA-B,LILRB2,2.0060334
151,COPA,CD74,Endothelial cell,Endothelial cell,1.9960699,0.0,Ligand,Receptor,COPA,CD74,1.9960699
152,HLA-A,APLP2,Endothelial cell,Endocrine cell,1.9920437,0.0,Ligand,Receptor,HLA-A,APLP2,1.9920437
153,COPA,CD74,Fibroblast cell,Endothelial cell,1.9910053,0.0,Ligand,Receptor,COPA,CD74,1.9910053
154,COPA,CD74,Endocrine cell,Endothelial cell,1.9825659,0.0,Ligand,Receptor,COPA,CD74,1.9825659
155,LGALS1,ITGB1,Stellate cell,Ductal cell type 1,1.9816834,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9816834
156,S100A10,CFTR,Macrophage cell,Ductal cell type 1,1.9775835,0.0,Ligand,Receptor,S100A10,CFTR,1.9775835
157,COPA,CD74,Ductal cell type 1,Endothelial cell,1.9752117,0.0,Ligand,Receptor,COPA,CD74,1.9752117
160,TIMP1,CD63,Endothelial cell,Fibroblast cell,1.9746882,0.0,Ligand,Receptor,TIMP1,CD63,1.9746882
161,S100A10,CFTR,Ductal cell type 1,Endocrine cell,1.9725444,0.0,Ligand,Receptor,S100A10,CFTR,1.9725444
164,CALM2,AQP1,Stellate cell,Endothelial cell,1.9486339,0.0,Ligand,Receptor,CALM2,AQP1,1.9486339
165,HLA-C,NOTCH4,Endothelial cell,Endothelial cell,1.9482365,0.0,Ligand,Receptor,HLA-C,NOTCH4,1.9482365
166,LGALS1,ITGB1,Stellate cell,Acinar cell,1.9443524,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9443524
167,LUM,ITGB1,Fibroblast cell,Endothelial cell,1.9438818,0.0,Ligand,Receptor,LUM,ITGB1,1.9438818
168,HLA-B,CANX,Macrophage cell,B cell,1.9434638,0.001,Ligand,Receptor,HLA-B,CANX,1.9434638
169,CALM2,AQP1,Stellate cell,Endocrine cell,1.9367179,0.0,Ligand,Receptor,CALM2,AQP1,1.9367179
170,LGALS1,ITGB1,Stellate cell,Endocrine cell,1.9311655,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9311655
171,HSP90B1,LRP1,B cell,Fibroblast cell,1.9187268,0.0,Ligand,Receptor,HSP90B1,LRP1,1.9187268
174,LGALS1,ITGB1,Macrophage cell,Endothelial cell,1.9114147,0.0,Ligand,Receptor,LGALS1,ITGB1,1.9114147
175,RPS19,C5AR1,Ductal cell type 1,Macrophage cell,1.907927,0.0,Ligand,Receptor,RPS19,C5AR1,1.907927
176,CALM2,INSR,Stellate cell,Acinar cell,1.903711,0.0,Ligand,Receptor,CALM2,INSR,1.903711
177,HLA-DQB1,CD4,Macrophage cell,Macrophage cell,1.8978782,0.0,Ligand,Receptor,HLA-DQB1,CD4,1.8978782
178,DCN,TLR2,Fibroblast cell,Macrophage cell,1.896059,0.0,Ligand,Receptor,DCN,TLR2,1.896059
179,LGALS1,ITGB1,Stellate cell,Macrophage cell,1.8800476,0.0,Ligand,Receptor,LGALS1,ITGB1,1.8800476
180,S100A10,CFTR,Endocrine cell,Ductal cell type 1,1.8793031,0.007,Ligand,Receptor,S100A10,CFTR,1.8793031
181,CALM2,MYLK,Stellate cell,Stellate cell,1.8745837,0.0,Ligand,Receptor,CALM2,MYLK,1.8745837
184,HLA-A,APLP2,Endothelial cell,Acinar cell,1.8462657,0.004,Ligand,Receptor,HLA-A,APLP2,1.8462657
185,HLA-A,ERBB2,Endothelial cell,Ductal cell type 1,1.8422809,0.0,Ligand,Receptor,HLA-A,ERBB2,1.8422809
186,TIMP1,CD63,Endothelial cell,Ductal cell type 1,1.8278054,0.0,Ligand,Receptor,TIMP1,CD63,1.8278054
187,TIMP1,CD63,Endothelial cell,Endothelial cell,1.8271966,0.0,Ligand,Receptor,TIMP1,CD63,1.8271966
188,CALM2,AQP1,Fibroblast cell,Ductal cell type 1,1.8269842,0.0,Ligand,Receptor,CALM2,AQP1,1.8269842
189,HSP90AA1,CFTR,Fibroblast cell,Ductal cell type 1,1.8227551,0.001,Ligand,Receptor,HSP90AA1,CFTR,1.8227551
190,HLA-A,ERBB2,Endothelial cell,Acinar cell,1.8208653,0.0,Ligand,Receptor,HLA-A,ERBB2,1.8208653
192,A2M,LRP1,Endothelial cell,Fibroblast cell,1.8099294,0.0,Ligand,Receptor,A2M,LRP1,1.8099294
193,LGALS1,PTPRC,Fibroblast cell,Macrophage cell,1.8066629,0.0,Ligand,Receptor,LGALS1,PTPRC,1.8066629
194,HLA-A,ERBB2,Endothelial cell,Endocrine cell,1.8051807,0.0,Ligand,Receptor,HLA-A,ERBB2,1.8051807
195,DCN,ERBB4,Fibroblast cell,Acinar cell,1.8050617,0.0,Ligand,Receptor,DCN,ERBB4,1.8050617
197,HSP90AA1,CFTR,Stellate cell,Ductal cell type 1,1.7841455,0.0,Ligand,Receptor,HSP90AA1,CFTR,1.7841455
198,HLA-A,LILRB2,Endothelial cell,Acinar cell,1.7777529,0.0,Ligand,Receptor,HLA-A,LILRB2,1.7777529
199,CALM2,INSR,Stellate cell,Endothelial cell,1.7776048,0.0,Ligand,Receptor,CALM2,INSR,1.7776048
204,TIMP1,CD63,Endothelial cell,Stellate cell,1.7654438,0.009,Ligand,Receptor,TIMP1,CD63,1.7654438
206,LGALS1,ITGB1,Fibroblast cell,Ductal cell type 1,1.7633833,0.001,Ligand,Receptor,LGALS1,ITGB1,1.7633833
207,HSP90AA1,CFTR,Ductal cell type 1,Endocrine cell,1.7616383,0.006,Ligand,Receptor,HSP90AA1,CFTR,1.7616383
209,HLA-DRB5,CD4,Macrophage cell,Macrophage cell,1.75618,0.0,Ligand,Receptor,HLA-DRB5,CD4,1.75618
210,CALM2,AQP1,Ductal cell type 1,Ductal cell type 1,1.7529936,0.0,Ligand,Receptor,CALM2,AQP1,1.7529936
212,APP,RPSA,B cell,Ductal cell type 1,1.737684,0.006,Ligand,Receptor,APP,RPSA,1.737684
213,HLA-B,CANX,Macrophage cell,Endocrine cell,1.736956,0.003,Ligand,Receptor,HLA-B,CANX,1.736956
215,APP,RPSA,Endothelial cell,Ductal cell type 1,1.7339029,0.0,Ligand,Receptor,APP,RPSA,1.7339029
217,GNAI2,CAV1,Endothelial cell,Endothelial cell,1.7298608,0.0,Ligand,Receptor,GNAI2,CAV1,1.7298608
218,HSP90AA1,CFTR,Endothelial cell,Ductal cell type 1,1.7262462,0.0,Ligand,Receptor,HSP90AA1,CFTR,1.7262462
220,APP,RPSA,Ductal cell type 1,Ductal cell type 1,1.7137637,0.0,Ligand,Receptor,APP,RPSA,1.7137637
221,LGALS1,ITGB1,Fibroblast cell,Endocrine cell,1.7128654,0.004,Ligand,Receptor,LGALS1,ITGB1,1.7128654
223,FBLN1,ITGB1,Fibroblast cell,Stellate cell,1.7107786,0.0,Ligand,Receptor,FBLN1,ITGB1,1.7107786
224,IAPP,RAMP1,Endocrine cell,Ductal cell type 1,1.710201,0.0,Ligand,Receptor,IAPP,RAMP1,1.710201
225,HLA-DQA1,CD4,Macrophage cell,Macrophage cell,1.7095675,0.0,Ligand,Receptor,HLA-DQA1,CD4,1.7095675
226,C3,IFITM1,Fibroblast cell,Endothelial cell,1.7092521,0.0,Ligand,Receptor,C3,IFITM1,1.7092521
227,HSP90AA1,CFTR,Endocrine cell,Ductal cell type 1,1.7062563,0.01,Ligand,Receptor,HSP90AA1,CFTR,1.7062563
228,PSAP,LRP1,Macrophage cell,Fibroblast cell,1.7054213,0.0,Ligand,Receptor,PSAP,LRP1,1.7054213
229,VIM,CD44,Fibroblast cell,Ductal cell type 1,1.7051189,0.0,Ligand,Receptor,VIM,CD44,1.7051189
231,ANXA2,ROBO4,Ductal cell type 1,Endothelial cell,1.7045889,0.0,Ligand,Receptor,ANXA2,ROBO4,1.7045889
236,FBLN1,ITGB1,Fibroblast cell,Fibroblast cell,1.7030022,0.0,Ligand,Receptor,FBLN1,ITGB1,1.7030022
240,HLA-DRB1,CD4,Endothelial cell,Macrophage cell,1.696326,0.0,Ligand,Receptor,HLA-DRB1,CD4,1.696326
241,CALM2,INSR,Stellate cell,Endocrine cell,1.6935849,0.0,Ligand,Receptor,CALM2,INSR,1.6935849
244,HMGB1,CXCR4,Endothelial cell,Macrophage cell,1.6860502,0.0,Ligand,Receptor,HMGB1,CXCR4,1.6860502
245,GNAI2,CAV1,Macrophage cell,Endothelial cell,1.6844568,0.0,Ligand,Receptor,GNAI2,CAV1,1.6844568
247,S100A10,TRPV6,Ductal cell type 1,B cell,1.6761405,0.0,Ligand,Receptor,S100A10,TRPV6,1.6761405
250,CALM2,AQP1,Ductal cell type 1,Endothelial cell,1.6722577,0.0,Ligand,Receptor,CALM2,AQP1,1.6722577
251,CALM2,MYLK,Fibroblast cell,Stellate cell,1.6721979,0.0,Ligand,Receptor,CALM2,MYLK,1.6721979
254,TIMP3,CD44,Fibroblast cell,Ductal cell type 1,1.668587,0.0,Ligand,Receptor,TIMP3,CD44,1.668587
257,LAMA2,RPSA,Fibroblast cell,Ductal cell type 1,1.6640128,0.0,Ligand,Receptor,LAMA2,RPSA,1.6640128
258,LGALS1,ITGB1,Fibroblast cell,Macrophage cell,1.6617475,0.009,Ligand,Receptor,LGALS1,ITGB1,1.6617475
260,TIMP3,KDR,Fibroblast cell,Endothelial cell,1.6580284,0.0,Ligand,Receptor,TIMP3,KDR,1.6580284
261,COL1A1,CD36,Fibroblast cell,Endothelial cell,1.6534868,0.0,Ligand,Receptor,COL1A1,CD36,1.6534868
262,SPARC,ENG,Endothelial cell,Endothelial cell,1.6531452,0.0,Ligand,Receptor,SPARC,ENG,1.6531452
263,CALM2,PDE1C,Stellate cell,Endothelial cell,1.651416,0.0,Ligand,Receptor,CALM2,PDE1C,1.651416
264,IAPP,RAMP3,Endocrine cell,Endothelial cell,1.6504481,0.0,Ligand,Receptor,IAPP,RAMP3,1.6504481
266,CALM2,PDE1A,Stellate cell,Fibroblast cell,1.6501282,0.0,Ligand,Receptor,CALM2,PDE1A,1.6501282
267,S100A10,TRPV6,Ductal cell type 1,Ductal cell type 1,1.6477516,0.0,Ligand,Receptor,S100A10,TRPV6,1.6477516
273,CALM2,MYLK,Stellate cell,Endothelial cell,1.6448903,0.0,Ligand,Receptor,CALM2,MYLK,1.6448903
275,A2M,LRP1,Fibroblast cell,Fibroblast cell,1.6418008,0.0,Ligand,Receptor,A2M,LRP1,1.6418008
277,IAPP,RAMP1,Endocrine cell,Fibroblast cell,1.6385233,0.0,Ligand,Receptor,IAPP,RAMP1,1.6385233
278,COL1A2,CD93,Fibroblast cell,Endothelial cell,1.6353996,0.0,Ligand,Receptor,COL1A2,CD93,1.6353996
279,CALM2,INSR,Stellate cell,Ductal cell type 1,1.633426,0.0,Ligand,Receptor,CALM2,INSR,1.633426
283,ADCYAP1,RAMP2,Endocrine cell,Endothelial cell,1.6270795,0.0,Ligand,Receptor,ADCYAP1,RAMP2,1.6270795
