,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.7010334,0.0,Ligand,Receptor,TIMP1,CD63,3.7010334
1,INS,INSR,Endocrine cell,Endothelial cell,3.4567075,0.0,Ligand,Receptor,INS,INSR,3.4567075
2,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.452891,0.0,Ligand,Receptor,PRSS1,F2RL3,3.452891
3,B2M,CD3D,Macrophage cell,T cell,3.4306607,0.0,Ligand,Receptor,B2M,CD3D,3.4306607
4,B2M,CD3D,T cell,T cell,3.3962576,0.0,Ligand,Receptor,B2M,CD3D,3.3962576
5,TIMP1,CD63,Fibroblast cell,Stellate cell,3.3853793,0.0,Ligand,Receptor,TIMP1,CD63,3.3853793
6,PRSS1,F2R,Acinar cell,Fibroblast cell,3.3817585,0.0,Ligand,Receptor,PRSS1,F2R,3.3817585
7,TIMP1,CD63,Fibroblast cell,Macrophage cell,3.375783,0.0,Ligand,Receptor,TIMP1,CD63,3.375783
8,INS,INSR,Endocrine cell,Acinar cell,3.3711407,0.0,Ligand,Receptor,INS,INSR,3.3711407
9,INS,INSR,Endocrine cell,Ductal cell type 1,3.3364196,0.0,Ligand,Receptor,INS,INSR,3.3364196
10,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.271227,0.0,Ligand,Receptor,TIMP1,CD63,3.271227
11,INS,INSR,Endocrine cell,Ductal cell type 2,3.2711852,0.0,Ligand,Receptor,INS,INSR,3.2711852
12,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.2482316,0.0,Ligand,Receptor,TIMP1,CD63,3.2482316
13,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.231748,0.0,Ligand,Receptor,TIMP1,CD63,3.231748
14,B2M,CD3D,Ductal cell type 1,T cell,3.2177932,0.0,Ligand,Receptor,B2M,CD3D,3.2177932
15,B2M,CD3D,Endothelial cell,T cell,3.1742778,0.0,Ligand,Receptor,B2M,CD3D,3.1742778
16,TIMP1,CD63,Stellate cell,Fibroblast cell,3.1515265,0.0,Ligand,Receptor,TIMP1,CD63,3.1515265
17,PRSS1,F2R,Acinar cell,Endothelial cell,3.1491456,0.0,Ligand,Receptor,PRSS1,F2R,3.1491456
18,B2M,CD3D,Ductal cell type 2,T cell,3.1483848,0.0,Ligand,Receptor,B2M,CD3D,3.1483848
19,B2M,CD3D,Stellate cell,T cell,3.1462557,0.0,Ligand,Receptor,B2M,CD3D,3.1462557
20,APP,CD74,Endothelial cell,Macrophage cell,3.13665,0.0,Ligand,Receptor,APP,CD74,3.13665
21,B2M,CD3D,B cell,T cell,3.125483,0.0,Ligand,Receptor,B2M,CD3D,3.125483
22,INS,LILRB2,Endocrine cell,Macrophage cell,3.1214087,0.0,Ligand,Receptor,INS,LILRB2,3.1214087
23,INS,INSR,Endocrine cell,Stellate cell,3.1126053,0.0,Ligand,Receptor,INS,INSR,3.1126053
24,INS,INSR,Endocrine cell,Endocrine cell,3.1104658,0.0,Ligand,Receptor,INS,INSR,3.1104658
25,PRSS1,F2RL1,Acinar cell,Ductal cell type 2,3.1099641,0.0,Ligand,Receptor,PRSS1,F2RL1,3.1099641
26,INS,INSR,Endocrine cell,B cell,3.1096082,0.0,Ligand,Receptor,INS,INSR,3.1096082
27,INS,IGF1R,Endocrine cell,Ductal cell type 2,3.1074715,0.0,Ligand,Receptor,INS,IGF1R,3.1074715
28,INS,INSR,Endocrine cell,Fibroblast cell,3.0988083,0.0,Ligand,Receptor,INS,INSR,3.0988083
29,INS,INSR,Endocrine cell,Macrophage cell,3.0958846,0.0,Ligand,Receptor,INS,INSR,3.0958846
30,INS,IGF1R,Endocrine cell,Endothelial cell,3.0941916,0.0,Ligand,Receptor,INS,IGF1R,3.0941916
31,INS,LILRB1,Endocrine cell,Macrophage cell,3.0917585,0.0,Ligand,Receptor,INS,LILRB1,3.0917585
32,INS,IGF1R,Endocrine cell,Endocrine cell,3.0899336,0.0,Ligand,Receptor,INS,IGF1R,3.0899336
33,TIMP1,CD63,Fibroblast cell,Acinar cell,3.0888038,0.0,Ligand,Receptor,TIMP1,CD63,3.0888038
34,PRSS1,F2R,Acinar cell,Stellate cell,3.085246,0.0,Ligand,Receptor,PRSS1,F2R,3.085246
35,APP,CD74,Ductal cell type 1,Macrophage cell,3.0836127,0.0,Ligand,Receptor,APP,CD74,3.0836127
36,INS,IGF1R,Endocrine cell,Fibroblast cell,3.0800745,0.0,Ligand,Receptor,INS,IGF1R,3.0800745
37,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.0784075,0.0,Ligand,Receptor,PRSS1,F2RL1,3.0784075
38,PRSS1,PARD3,Acinar cell,Ductal cell type 2,3.0746818,0.0,Ligand,Receptor,PRSS1,PARD3,3.0746818
39,PRSS1,F2RL2,Acinar cell,Fibroblast cell,3.0724468,0.0,Ligand,Receptor,PRSS1,F2RL2,3.0724468
40,INS,IGF1R,Endocrine cell,Ductal cell type 1,3.0721354,0.0,Ligand,Receptor,INS,IGF1R,3.0721354
41,PRSS1,F2R,Acinar cell,B cell,3.0684743,0.0,Ligand,Receptor,PRSS1,F2R,3.0684743
42,PRSS1,PARD3,Acinar cell,Fibroblast cell,3.0570593,0.0,Ligand,Receptor,PRSS1,PARD3,3.0570593
43,INS,IGF1R,Endocrine cell,Acinar cell,3.0526998,0.0,Ligand,Receptor,INS,IGF1R,3.0526998
44,PRSS1,PARD3,Acinar cell,Acinar cell,3.0290112,0.0,Ligand,Receptor,PRSS1,PARD3,3.0290112
45,B2M,CD3G,Macrophage cell,T cell,3.0064166,0.0,Ligand,Receptor,B2M,CD3G,3.0064166
46,B2M,CD3G,T cell,T cell,2.9720135,0.0,Ligand,Receptor,B2M,CD3G,2.9720135
47,LUM,ITGB1,Fibroblast cell,Stellate cell,2.9690197,0.0,Ligand,Receptor,LUM,ITGB1,2.9690197
48,TIMP1,CD63,Fibroblast cell,T cell,2.9406722,0.0,Ligand,Receptor,TIMP1,CD63,2.9406722
49,COL1A1,CD93,Fibroblast cell,Endothelial cell,2.9316208,0.0,Ligand,Receptor,COL1A1,CD93,2.9316208
50,B2M,CD3D,Fibroblast cell,T cell,2.926475,0.0,Ligand,Receptor,B2M,CD3D,2.926475
