,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,PRSS1,F2R,Acinar cell,Fibroblast cell,3.9325624,0.0,Ligand,Receptor,PRSS1,F2R,3.9325624
1,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.866741,0.0,Ligand,Receptor,PRSS1,F2RL3,3.866741
2,B2M,CD3D,T cell,T cell,3.8444254,0.0,Ligand,Receptor,B2M,CD3D,3.8444254
3,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.7720795,0.0,Ligand,Receptor,TIMP1,CD63,3.7720795
4,INS,INSR,Endocrine cell,Endothelial cell,3.7057948,0.0,Ligand,Receptor,INS,INSR,3.7057948
5,B2M,CD3D,Macrophage cell,T cell,3.6922295,0.0,Ligand,Receptor,B2M,CD3D,3.6922295
6,B2M,CD3D,Ductal cell type 2,T cell,3.6635835,0.0,Ligand,Receptor,B2M,CD3D,3.6635835
7,B2M,CD3D,Endothelial cell,T cell,3.6629453,0.0,Ligand,Receptor,B2M,CD3D,3.6629453
8,B2M,CD3D,Stellate cell,T cell,3.5104642,0.0,Ligand,Receptor,B2M,CD3D,3.5104642
9,TIMP1,CD63,Fibroblast cell,Stellate cell,3.489601,0.0,Ligand,Receptor,TIMP1,CD63,3.489601
10,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.4868689,0.0,Ligand,Receptor,PRSS1,F2RL1,3.4868689
11,PRSS1,F2RL1,Acinar cell,Ductal cell type 2,3.4671085,0.0,Ligand,Receptor,PRSS1,F2RL1,3.4671085
12,PRSS1,F2R,Acinar cell,Endothelial cell,3.4655325,0.0,Ligand,Receptor,PRSS1,F2R,3.4655325
13,B2M,CD3D,Endocrine cell,T cell,3.4632394,0.0,Ligand,Receptor,B2M,CD3D,3.4632394
14,PRSS1,F2RL3,Acinar cell,Endocrine cell,3.4508123,0.0,Ligand,Receptor,PRSS1,F2RL3,3.4508123
15,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.4322815,0.0,Ligand,Receptor,TIMP1,CD63,3.4322815
16,TIMP1,CD63,Fibroblast cell,Macrophage cell,3.4186502,0.0,Ligand,Receptor,TIMP1,CD63,3.4186502
17,PRSS1,F2RL3,Acinar cell,Acinar cell,3.4131832,0.0,Ligand,Receptor,PRSS1,F2RL3,3.4131832
18,B2M,CD3D,Ductal cell type 1,T cell,3.3914223,0.0,Ligand,Receptor,B2M,CD3D,3.3914223
19,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.3798332,0.0,Ligand,Receptor,TIMP1,CD63,3.3798332
20,PRSS1,F2RL3,Acinar cell,Ductal cell type 2,3.3597844,0.0,Ligand,Receptor,PRSS1,F2RL3,3.3597844
21,PRSS1,F2RL1,Acinar cell,Acinar cell,3.3505318,0.0,Ligand,Receptor,PRSS1,F2RL1,3.3505318
22,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.3183408,0.0,Ligand,Receptor,TIMP1,CD63,3.3183408
23,INS,INSR,Endocrine cell,Ductal cell type 2,3.2821593,0.0,Ligand,Receptor,INS,INSR,3.2821593
24,PRSS3,F2R,Acinar cell,Fibroblast cell,3.277745,0.0,Ligand,Receptor,PRSS3,F2R,3.277745
25,TIMP1,CD63,Fibroblast cell,Endocrine cell,3.2555654,0.0,Ligand,Receptor,TIMP1,CD63,3.2555654
26,INS,INSR,Endocrine cell,Acinar cell,3.250382,0.0,Ligand,Receptor,INS,INSR,3.250382
27,B2M,CD3D,Fibroblast cell,T cell,3.2488253,0.0,Ligand,Receptor,B2M,CD3D,3.2488253
28,PRSS3,F2RL3,Acinar cell,Endothelial cell,3.2119236,0.0,Ligand,Receptor,PRSS3,F2RL3,3.2119236
29,INS,INSR,Endocrine cell,Ductal cell type 1,3.1474755,0.0,Ligand,Receptor,INS,INSR,3.1474755
30,INS,INSR,Endocrine cell,Endocrine cell,3.1459599,0.0,Ligand,Receptor,INS,INSR,3.1459599
31,TIMP1,CD63,Fibroblast cell,T cell,3.1280165,0.0,Ligand,Receptor,TIMP1,CD63,3.1280165
32,LUM,ITGB1,Fibroblast cell,Fibroblast cell,3.1184034,0.0,Ligand,Receptor,LUM,ITGB1,3.1184034
