,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,APP,CD74,Endothelial cell,Macrophage cell,3.281835,0.0,Ligand,Receptor,APP,CD74,3.281835
1,B2M,CD3D,T cell,T cell,3.1948142,0.0,Ligand,Receptor,B2M,CD3D,3.1948142
2,TIMP1,CD63,Fibroblast cell,Endocrine cell,3.1945343,0.0,Ligand,Receptor,TIMP1,CD63,3.1945343
3,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.1571648,0.0,Ligand,Receptor,TIMP1,CD63,3.1571648
4,APP,CD74,Endothelial cell,B cell,3.1405902,0.0,Ligand,Receptor,APP,CD74,3.1405902
5,APP,CD74,Endocrine cell,Macrophage cell,3.0674617,0.0,Ligand,Receptor,APP,CD74,3.0674617
6,B2M,CD3D,Macrophage cell,T cell,3.0478988,0.0,Ligand,Receptor,B2M,CD3D,3.0478988
7,APP,CD74,Fibroblast cell,Macrophage cell,2.968697,0.0,Ligand,Receptor,APP,CD74,2.968697
8,B2M,CD3D,Endothelial cell,T cell,2.9491258,0.0,Ligand,Receptor,B2M,CD3D,2.9491258
9,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,2.944611,0.0,Ligand,Receptor,TIMP1,CD63,2.944611
10,APP,CD74,Endocrine cell,B cell,2.9262168,0.0,Ligand,Receptor,APP,CD74,2.9262168
11,B2M,CD3D,Endocrine cell,T cell,2.9165788,0.0,Ligand,Receptor,B2M,CD3D,2.9165788
12,TIMP1,CD63,Fibroblast cell,Stellate cell,2.9116645,0.0,Ligand,Receptor,TIMP1,CD63,2.9116645
13,B2M,KLRC1,T cell,T cell,2.8996289,0.0,Ligand,Receptor,B2M,KLRC1,2.8996289
14,B2M,CD247,T cell,T cell,2.8958385,0.0,Ligand,Receptor,B2M,CD247,2.8958385
15,B2M,CD3D,Ductal cell type 2,T cell,2.8857994,0.0,Ligand,Receptor,B2M,CD3D,2.8857994
16,TFF2,CXCR4,Ductal cell type 2,B cell,2.8485045,0.0,Ligand,Receptor,TFF2,CXCR4,2.8485045
