,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.6562047,0.0,Ligand,Receptor,INS,INSR,4.6562047
1,INS,IGF1R,Endocrine cell,Endocrine cell,4.457006,0.0,Ligand,Receptor,INS,IGF1R,4.457006
2,INS,INSR,Endocrine cell,Ductal cell type 1,4.4550385,0.0,Ligand,Receptor,INS,INSR,4.4550385
3,INS,IGF1R,Endocrine cell,Endothelial cell,4.4458365,0.0,Ligand,Receptor,INS,IGF1R,4.4458365
4,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.436542,0.0,Ligand,Receptor,INS,IGF1R,4.436542
5,INS,INSR,Endocrine cell,Fibroblast cell,4.416705,0.0,Ligand,Receptor,INS,INSR,4.416705
6,INS,INSR,Endocrine cell,Endocrine cell,4.377352,0.0,Ligand,Receptor,INS,INSR,4.377352
7,INS,LILRB2,Endocrine cell,Endocrine cell,4.3559194,0.0,Ligand,Receptor,INS,LILRB2,4.3559194
8,APP,CD74,Endothelial cell,Macrophage cell,3.4054384,0.0,Ligand,Receptor,APP,CD74,3.4054384
9,APP,CD74,Ductal cell type 1,Macrophage cell,3.3367977,0.0,Ligand,Receptor,APP,CD74,3.3367977
10,APP,CD74,Fibroblast cell,Macrophage cell,3.151237,0.0,Ligand,Receptor,APP,CD74,3.151237
11,APP,CD74,Stellate cell,Macrophage cell,3.1195498,0.0,Ligand,Receptor,APP,CD74,3.1195498
12,B2M,CD1C,Endothelial cell,Macrophage cell,3.0067265,0.0,Ligand,Receptor,B2M,CD1C,3.0067265
13,APP,CD74,Endothelial cell,Endothelial cell,2.7959151,0.0,Ligand,Receptor,APP,CD74,2.7959151
14,B2M,TFRC,Endothelial cell,Ductal cell type 1,2.7772164,0.0,Ligand,Receptor,B2M,TFRC,2.7772164
15,IAPP,RAMP2,Endocrine cell,Endothelial cell,2.7718883,0.0,Ligand,Receptor,IAPP,RAMP2,2.7718883
16,B2M,LILRB2,Endothelial cell,Endocrine cell,2.7390385,0.0,Ligand,Receptor,B2M,LILRB2,2.7390385
17,APP,CD74,Ductal cell type 1,Endothelial cell,2.7272742,0.0,Ligand,Receptor,APP,CD74,2.7272742
