,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.490665,0.0,Ligand,Receptor,INS,INSR,4.490665
1,INS,INSR,Endocrine cell,Ductal cell type 2,4.275402,0.0,Ligand,Receptor,INS,INSR,4.275402
2,INS,INSR,Endocrine cell,Macrophage cell,4.2059903,0.0,Ligand,Receptor,INS,INSR,4.2059903
3,INS,INSR,Endocrine cell,Fibroblast cell,4.167121,0.0,Ligand,Receptor,INS,INSR,4.167121
4,INS,INSR,Endocrine cell,Stellate cell,4.159461,0.0,Ligand,Receptor,INS,INSR,4.159461
5,INS,IGF1R,Endocrine cell,Endocrine cell,4.128184,0.0,Ligand,Receptor,INS,IGF1R,4.128184
6,INS,IGF1R,Endocrine cell,Fibroblast cell,4.1275387,0.0,Ligand,Receptor,INS,IGF1R,4.1275387
7,INS,IGF1R,Endocrine cell,Endothelial cell,4.0897126,0.0,Ligand,Receptor,INS,IGF1R,4.0897126
8,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.4404733,0.0,Ligand,Receptor,TIMP1,CD63,3.4404733
9,B2M,CD3D,T cell,T cell,3.4231334,0.0,Ligand,Receptor,B2M,CD3D,3.4231334
10,B2M,CD3D,Endothelial cell,T cell,3.1754918,0.0,Ligand,Receptor,B2M,CD3D,3.1754918
11,B2M,CD3D,Macrophage cell,T cell,3.1701598,0.0,Ligand,Receptor,B2M,CD3D,3.1701598
12,TIMP1,CD63,Fibroblast cell,Stellate cell,3.1372392,0.0,Ligand,Receptor,TIMP1,CD63,3.1372392
13,APP,CD74,Endothelial cell,B cell,3.133086,0.0,Ligand,Receptor,APP,CD74,3.133086
14,APP,CD74,Endothelial cell,Macrophage cell,3.1301374,0.0,Ligand,Receptor,APP,CD74,3.1301374
15,LUM,ITGB1,Fibroblast cell,Stellate cell,3.1175184,0.0,Ligand,Receptor,LUM,ITGB1,3.1175184
16,B2M,CD3D,Ductal cell type 2,T cell,3.0918508,0.0,Ligand,Receptor,B2M,CD3D,3.0918508
17,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.0699327,0.0,Ligand,Receptor,TIMP1,CD63,3.0699327
18,B2M,CD3D,B cell,T cell,3.0574298,0.0,Ligand,Receptor,B2M,CD3D,3.0574298
19,B2M,CD3D,Stellate cell,T cell,3.0521812,0.0,Ligand,Receptor,B2M,CD3D,3.0521812
20,B2M,CD247,T cell,T cell,3.0048714,0.0,Ligand,Receptor,B2M,CD247,3.0048714
21,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.0018785,0.0,Ligand,Receptor,TIMP1,CD63,3.0018785
22,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.9690948,0.0,Ligand,Receptor,LUM,ITGB1,2.9690948
23,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.964675,0.0,Ligand,Receptor,TIMP1,CD63,2.964675
24,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.9594564,0.0,Ligand,Receptor,LUM,ITGB1,2.9594564
25,TIMP1,CD63,Stellate cell,Fibroblast cell,2.9513874,0.0,Ligand,Receptor,TIMP1,CD63,2.9513874
26,LUM,ITGB1,Fibroblast cell,Ductal cell type 2,2.9341383,0.0,Ligand,Receptor,LUM,ITGB1,2.9341383
27,APP,CD74,Fibroblast cell,B cell,2.9340425,0.0,Ligand,Receptor,APP,CD74,2.9340425
28,APP,CD74,Fibroblast cell,Macrophage cell,2.931094,0.0,Ligand,Receptor,APP,CD74,2.931094
29,B2M,TFRC,T cell,Macrophage cell,2.8882987,0.0,Ligand,Receptor,B2M,TFRC,2.8882987
30,COL1A2,CD93,Fibroblast cell,Endothelial cell,2.883579,0.0,Ligand,Receptor,COL1A2,CD93,2.883579
31,B2M,KLRD1,T cell,T cell,2.8785806,0.0,Ligand,Receptor,B2M,KLRD1,2.8785806
32,B2M,CD3G,T cell,T cell,2.8773956,0.0,Ligand,Receptor,B2M,CD3G,2.8773956
33,B2M,CD3D,Fibroblast cell,T cell,2.8635435,0.0,Ligand,Receptor,B2M,CD3D,2.8635435
34,B2M,CD1C,T cell,Macrophage cell,2.8529813,0.0,Ligand,Receptor,B2M,CD1C,2.8529813
35,B2M,TFRC,T cell,Endocrine cell,2.8480713,0.003,Ligand,Receptor,B2M,TFRC,2.8480713
36,B2M,KLRC1,T cell,T cell,2.8258445,0.0,Ligand,Receptor,B2M,KLRC1,2.8258445
37,APP,CD74,Endocrine cell,B cell,2.81202,0.0,Ligand,Receptor,APP,CD74,2.81202
38,APP,CD74,Endocrine cell,Macrophage cell,2.8090715,0.0,Ligand,Receptor,APP,CD74,2.8090715
39,TIMP1,CD63,Fibroblast cell,Endocrine cell,2.8065467,0.004,Ligand,Receptor,TIMP1,CD63,2.8065467
40,B2M,TFRC,T cell,Ductal cell type 2,2.8024788,0.0,Ligand,Receptor,B2M,TFRC,2.8024788
41,B2M,KLRC2,T cell,T cell,2.7834134,0.0,Ligand,Receptor,B2M,KLRC2,2.7834134
42,B2M,TFRC,T cell,T cell,2.7832255,0.0,Ligand,Receptor,B2M,TFRC,2.7832255
43,B2M,CD1C,T cell,B cell,2.766234,0.0,Ligand,Receptor,B2M,CD1C,2.766234
44,B2M,CD3D,Endocrine cell,T cell,2.7581968,0.001,Ligand,Receptor,B2M,CD3D,2.7581968
45,B2M,CD247,Endothelial cell,T cell,2.7572296,0.0,Ligand,Receptor,B2M,CD247,2.7572296
46,APP,CD74,Stellate cell,B cell,2.7526891,0.0,Ligand,Receptor,APP,CD74,2.7526891
47,B2M,CD247,Macrophage cell,T cell,2.7518976,0.0,Ligand,Receptor,B2M,CD247,2.7518976
48,APP,CD74,Stellate cell,Macrophage cell,2.7497406,0.0,Ligand,Receptor,APP,CD74,2.7497406
49,COL1A1,CD93,Fibroblast cell,Endothelial cell,2.725564,0.0,Ligand,Receptor,COL1A1,CD93,2.725564
50,B2M,TFRC,T cell,Fibroblast cell,2.7037396,0.0,Ligand,Receptor,B2M,TFRC,2.7037396
51,APP,CD74,Ductal cell type 2,B cell,2.6862557,0.0,Ligand,Receptor,APP,CD74,2.6862557
52,APP,CD74,Ductal cell type 2,Macrophage cell,2.6833072,0.0,Ligand,Receptor,APP,CD74,2.6833072
53,B2M,CD247,Ductal cell type 2,T cell,2.6735885,0.0,Ligand,Receptor,B2M,CD247,2.6735885
55,TIMP1,CD63,Fibroblast cell,T cell,2.663966,0.0,Ligand,Receptor,TIMP1,CD63,2.663966
56,TIMP1,CD63,Stellate cell,Stellate cell,2.6481533,0.0,Ligand,Receptor,TIMP1,CD63,2.6481533
57,B2M,TFRC,Endothelial cell,Macrophage cell,2.640657,0.0,Ligand,Receptor,B2M,TFRC,2.640657
58,B2M,CD247,B cell,T cell,2.6391678,0.0,Ligand,Receptor,B2M,CD247,2.6391678
59,TIMP1,CD63,Endothelial cell,Fibroblast cell,2.6377563,0.0,Ligand,Receptor,TIMP1,CD63,2.6377563
60,B2M,TFRC,Macrophage cell,Macrophage cell,2.635325,0.0,Ligand,Receptor,B2M,TFRC,2.635325
61,B2M,CD247,Stellate cell,T cell,2.633919,0.0,Ligand,Receptor,B2M,CD247,2.633919
62,B2M,KLRD1,Endothelial cell,T cell,2.6309388,0.0,Ligand,Receptor,B2M,KLRD1,2.6309388
63,B2M,CD3G,Endothelial cell,T cell,2.6297538,0.0,Ligand,Receptor,B2M,CD3G,2.6297538
64,B2M,KLRD1,Macrophage cell,T cell,2.6256068,0.0,Ligand,Receptor,B2M,KLRD1,2.6256068
65,B2M,CD3G,Macrophage cell,T cell,2.6244218,0.0,Ligand,Receptor,B2M,CD3G,2.6244218
66,B2M,CD1C,Endothelial cell,Macrophage cell,2.6053395,0.0,Ligand,Receptor,B2M,CD1C,2.6053395
69,B2M,CD1C,Macrophage cell,Macrophage cell,2.6000075,0.0,Ligand,Receptor,B2M,CD1C,2.6000075
71,LUM,ITGB1,Fibroblast cell,Endocrine cell,2.584296,0.0,Ligand,Receptor,LUM,ITGB1,2.584296
72,TIMP1,CD63,Stellate cell,Endothelial cell,2.5808468,0.0,Ligand,Receptor,TIMP1,CD63,2.5808468
73,B2M,KLRC1,Endothelial cell,T cell,2.5782027,0.0,Ligand,Receptor,B2M,KLRC1,2.5782027
74,B2M,KLRC1,Macrophage cell,T cell,2.5728707,0.0,Ligand,Receptor,B2M,KLRC1,2.5728707
75,SPARC,ENG,Fibroblast cell,Endothelial cell,2.5632315,0.0,Ligand,Receptor,SPARC,ENG,2.5632315
76,TIMP1,CD63,Ductal cell type 2,Fibroblast cell,2.5587249,0.0,Ligand,Receptor,TIMP1,CD63,2.5587249
77,B2M,TFRC,Ductal cell type 2,Macrophage cell,2.557016,0.0,Ligand,Receptor,B2M,TFRC,2.557016
78,B2M,TFRC,Endothelial cell,Ductal cell type 2,2.554837,0.0,Ligand,Receptor,B2M,TFRC,2.554837
79,COPA,CD74,Ductal cell type 2,B cell,2.5527463,0.0,Ligand,Receptor,COPA,CD74,2.5527463
80,COPA,CD74,Ductal cell type 2,Macrophage cell,2.5497978,0.0,Ligand,Receptor,COPA,CD74,2.5497978
81,B2M,TFRC,Macrophage cell,Ductal cell type 2,2.549505,0.0,Ligand,Receptor,B2M,TFRC,2.549505
82,B2M,KLRD1,Ductal cell type 2,T cell,2.5472977,0.0,Ligand,Receptor,B2M,KLRD1,2.5472977
83,B2M,CD3G,Ductal cell type 2,T cell,2.5461128,0.0,Ligand,Receptor,B2M,CD3G,2.5461128
84,FBLN1,ITGB1,Fibroblast cell,Stellate cell,2.5404515,0.0,Ligand,Receptor,FBLN1,ITGB1,2.5404515
85,B2M,KLRC2,Endothelial cell,T cell,2.5357716,0.0,Ligand,Receptor,B2M,KLRC2,2.5357716
86,B2M,TFRC,Endothelial cell,T cell,2.5355837,0.005,Ligand,Receptor,B2M,TFRC,2.5355837
87,B2M,KLRC2,Macrophage cell,T cell,2.5304396,0.0,Ligand,Receptor,B2M,KLRC2,2.5304396
88,B2M,TFRC,Macrophage cell,T cell,2.5302517,0.007,Ligand,Receptor,B2M,TFRC,2.5302517
89,COPA,CD74,Endothelial cell,B cell,2.5286,0.0,Ligand,Receptor,COPA,CD74,2.5286
90,LUM,ITGB1,Fibroblast cell,Macrophage cell,2.527433,0.0,Ligand,Receptor,LUM,ITGB1,2.527433
91,COPA,CD74,Fibroblast cell,B cell,2.5266645,0.0,Ligand,Receptor,COPA,CD74,2.5266645
92,COPA,CD74,Endothelial cell,Macrophage cell,2.5256515,0.0,Ligand,Receptor,COPA,CD74,2.5256515
93,APP,CD74,Macrophage cell,B cell,2.5254438,0.0,Ligand,Receptor,APP,CD74,2.5254438
94,COPA,CD74,Fibroblast cell,Macrophage cell,2.523716,0.0,Ligand,Receptor,COPA,CD74,2.523716
96,APP,CD74,Macrophage cell,Macrophage cell,2.5224953,0.0,Ligand,Receptor,APP,CD74,2.5224953
97,B2M,CD1C,Ductal cell type 2,Macrophage cell,2.5216985,0.0,Ligand,Receptor,B2M,CD1C,2.5216985
98,COPA,CD74,Macrophage cell,B cell,2.5196536,0.0,Ligand,Receptor,COPA,CD74,2.5196536
99,B2M,CD1C,Endothelial cell,B cell,2.5185921,0.006,Ligand,Receptor,B2M,CD1C,2.5185921
100,B2M,TFRC,Stellate cell,Macrophage cell,2.5173464,0.0,Ligand,Receptor,B2M,TFRC,2.5173464
102,COPA,CD74,Macrophage cell,Macrophage cell,2.516705,0.0,Ligand,Receptor,COPA,CD74,2.516705
103,B2M,CD1C,Macrophage cell,B cell,2.5132601,0.01,Ligand,Receptor,B2M,CD1C,2.5132601
104,B2M,KLRD1,B cell,T cell,2.512877,0.003,Ligand,Receptor,B2M,KLRD1,2.512877
105,TIMP1,CD63,Stellate cell,Ductal cell type 2,2.5127926,0.0,Ligand,Receptor,TIMP1,CD63,2.5127926
106,B2M,CD3G,B cell,T cell,2.511692,0.002,Ligand,Receptor,B2M,CD3G,2.511692
107,LUM,ITGB1,Fibroblast cell,T cell,2.5082378,0.0,Ligand,Receptor,LUM,ITGB1,2.5082378
108,B2M,KLRD1,Stellate cell,T cell,2.5076282,0.0,Ligand,Receptor,B2M,KLRD1,2.5076282
109,B2M,CD3G,Stellate cell,T cell,2.5064433,0.0,Ligand,Receptor,B2M,CD3G,2.5064433
110,RPS19,C5AR1,B cell,Macrophage cell,2.5039036,0.0,Ligand,Receptor,RPS19,C5AR1,2.5039036
111,LGALS1,ITGB1,Fibroblast cell,Stellate cell,2.500636,0.0,Ligand,Receptor,LGALS1,ITGB1,2.500636
112,TIMP1,CD63,Macrophage cell,Fibroblast cell,2.4950242,0.0,Ligand,Receptor,TIMP1,CD63,2.4950242
113,B2M,KLRC1,Ductal cell type 2,T cell,2.4945617,0.0,Ligand,Receptor,B2M,KLRC1,2.4945617
115,HMGB1,CXCR4,T cell,B cell,2.4839237,0.0,Ligand,Receptor,HMGB1,CXCR4,2.4839237
117,B2M,CD1C,Stellate cell,Macrophage cell,2.482029,0.0,Ligand,Receptor,B2M,CD1C,2.482029
119,TIMP1,CD63,Stellate cell,Macrophage cell,2.475589,0.0,Ligand,Receptor,TIMP1,CD63,2.475589
121,CALM2,AQP1,Stellate cell,Endothelial cell,2.4610863,0.0,Ligand,Receptor,CALM2,AQP1,2.4610863
