,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.607031,0.0,Ligand,Receptor,INS,INSR,4.607031
1,INS,INSR,Endocrine cell,B cell,4.433559,0.0,Ligand,Receptor,INS,INSR,4.433559
2,INS,INSR,Endocrine cell,Acinar cell,4.4039216,0.0,Ligand,Receptor,INS,INSR,4.4039216
3,INS,INSR,Endocrine cell,Ductal cell type 1,4.3901987,0.0,Ligand,Receptor,INS,INSR,4.3901987
4,INS,IGF1R,Endocrine cell,B cell,4.3808193,0.0,Ligand,Receptor,INS,IGF1R,4.3808193
5,INS,IGF1R,Endocrine cell,Ductal cell type 1,4.3413777,0.0,Ligand,Receptor,INS,IGF1R,4.3413777
6,INS,INSR,Endocrine cell,Macrophage cell,4.3358235,0.0,Ligand,Receptor,INS,INSR,4.3358235
7,INS,INSR,Endocrine cell,Stellate cell,4.3270874,0.0,Ligand,Receptor,INS,INSR,4.3270874
8,INS,INSR,Endocrine cell,Endocrine cell,4.317079,0.0,Ligand,Receptor,INS,INSR,4.317079
9,INS,IGF1R,Endocrine cell,Endocrine cell,4.3148108,0.0,Ligand,Receptor,INS,IGF1R,4.3148108
10,INS,IGF1R,Endocrine cell,Endothelial cell,4.3094573,0.0,Ligand,Receptor,INS,IGF1R,4.3094573
11,INS,INSR,Endocrine cell,Fibroblast cell,4.308262,0.0,Ligand,Receptor,INS,INSR,4.308262
12,INS,IGF1R,Endocrine cell,Acinar cell,4.301437,0.0,Ligand,Receptor,INS,IGF1R,4.301437
13,INS,LILRB1,Endocrine cell,B cell,4.2760367,0.0,Ligand,Receptor,INS,LILRB1,4.2760367
14,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.8075833,0.0,Ligand,Receptor,PRSS1,F2RL3,3.8075833
15,PRSS1,F2R,Acinar cell,Fibroblast cell,3.7653675,0.0,Ligand,Receptor,PRSS1,F2R,3.7653675
16,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,3.5883255,0.0,Ligand,Receptor,PRSS1,F2RL1,3.5883255
17,APP,CD74,Ductal cell type 1,Macrophage cell,3.458971,0.0,Ligand,Receptor,APP,CD74,3.458971
18,APP,CD74,Endothelial cell,Macrophage cell,3.4457,0.0,Ligand,Receptor,APP,CD74,3.4457
19,PRSS1,PARD3,Acinar cell,Stellate cell,3.4322908,0.0,Ligand,Receptor,PRSS1,PARD3,3.4322908
20,PRSS1,PARD3,Acinar cell,Ductal cell type 1,3.4208548,0.0,Ligand,Receptor,PRSS1,PARD3,3.4208548
21,PRSS1,F2RL1,Acinar cell,Endocrine cell,3.3994372,0.0,Ligand,Receptor,PRSS1,F2RL1,3.3994372
22,PRSS1,PARD3,Acinar cell,Endocrine cell,3.3944345,0.0,Ligand,Receptor,PRSS1,PARD3,3.3944345
23,CEL,CXCR4,Acinar cell,Macrophage cell,3.2015834,0.0,Ligand,Receptor,CEL,CXCR4,3.2015834
24,APP,CD74,Fibroblast cell,Macrophage cell,3.1635313,0.0,Ligand,Receptor,APP,CD74,3.1635313
25,LUM,ITGB1,Fibroblast cell,Stellate cell,3.0345082,0.0,Ligand,Receptor,LUM,ITGB1,3.0345082
26,APP,CD74,Endocrine cell,Macrophage cell,2.9845505,0.0,Ligand,Receptor,APP,CD74,2.9845505
27,APP,CD74,Stellate cell,Macrophage cell,2.966872,0.0,Ligand,Receptor,APP,CD74,2.966872
28,SPINK1,EGFR,Acinar cell,Fibroblast cell,2.9507227,0.0,Ligand,Receptor,SPINK1,EGFR,2.9507227
29,APP,CD74,Ductal cell type 1,Endothelial cell,2.9021013,0.0,Ligand,Receptor,APP,CD74,2.9021013
30,SPINK1,EGFR,Acinar cell,Ductal cell type 1,2.8967206,0.0,Ligand,Receptor,SPINK1,EGFR,2.8967206
31,APP,CD74,Endothelial cell,Endothelial cell,2.8888302,0.0,Ligand,Receptor,APP,CD74,2.8888302
32,IAPP,RAMP2,Endocrine cell,Endothelial cell,2.8789482,0.0,Ligand,Receptor,IAPP,RAMP2,2.8789482
33,APP,CD74,Acinar cell,Macrophage cell,2.8696718,0.0,Ligand,Receptor,APP,CD74,2.8696718
35,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.825841,0.0,Ligand,Receptor,LUM,ITGB1,2.825841
36,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.789353,0.0,Ligand,Receptor,LUM,ITGB1,2.789353
37,APP,CD74,B cell,Macrophage cell,2.7590778,0.0,Ligand,Receptor,APP,CD74,2.7590778
38,APP,CD74,Macrophage cell,Macrophage cell,2.7450824,0.0,Ligand,Receptor,APP,CD74,2.7450824
39,TIMP1,CD63,Fibroblast cell,Fibroblast cell,2.7395906,0.0,Ligand,Receptor,TIMP1,CD63,2.7395906
40,B2M,TFRC,Endothelial cell,B cell,2.7231517,0.0,Ligand,Receptor,B2M,TFRC,2.7231517
41,B2M,LILRB1,Endothelial cell,B cell,2.7119906,0.0,Ligand,Receptor,B2M,LILRB1,2.7119906
42,TIMP1,CD63,Fibroblast cell,Stellate cell,2.6835566,0.0,Ligand,Receptor,TIMP1,CD63,2.6835566
43,PRSS3,F2RL3,Acinar cell,Endothelial cell,2.67807,0.0,Ligand,Receptor,PRSS3,F2RL3,2.67807
44,COPA,CD74,Endothelial cell,Macrophage cell,2.6556,0.0,Ligand,Receptor,COPA,CD74,2.6556
46,COPA,CD74,Ductal cell type 1,Macrophage cell,2.6451204,0.0,Ligand,Receptor,COPA,CD74,2.6451204
47,COPA,CD74,Macrophage cell,Macrophage cell,2.6386697,0.0,Ligand,Receptor,COPA,CD74,2.6386697
