,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.6000881,0.0,Ligand,Receptor,TIMP1,CD63,3.6000881
1,B2M,CD3D,T cell,T cell,3.5920243,0.0,Ligand,Receptor,B2M,CD3D,3.5920243
2,APP,CD74,Endothelial cell,Macrophage cell,3.54429,0.0,Ligand,Receptor,APP,CD74,3.54429
3,B2M,CD3D,Endothelial cell,T cell,3.5296159,0.0,Ligand,Receptor,B2M,CD3D,3.5296159
4,PRSS1,F2R,Acinar cell,Fibroblast cell,3.483808,0.0,Ligand,Receptor,PRSS1,F2R,3.483808
5,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.4079747,0.0,Ligand,Receptor,TIMP1,CD63,3.4079747
6,B2M,CD3D,Macrophage cell,T cell,3.4042835,0.0,Ligand,Receptor,B2M,CD3D,3.4042835
7,TIMP1,CD63,Fibroblast cell,Ductal cell type 1,3.394183,0.0,Ligand,Receptor,TIMP1,CD63,3.394183
8,APP,CD74,Endothelial cell,B cell,3.3933437,0.0,Ligand,Receptor,APP,CD74,3.3933437
9,B2M,CD3D,B cell,T cell,3.393095,0.0,Ligand,Receptor,B2M,CD3D,3.393095
10,TIMP1,CD63,Fibroblast cell,Stellate cell,3.3906264,0.0,Ligand,Receptor,TIMP1,CD63,3.3906264
11,APP,CD74,Ductal cell type 1,Macrophage cell,3.3746037,0.0,Ligand,Receptor,APP,CD74,3.3746037
12,B2M,CD3D,Stellate cell,T cell,3.3254638,0.0,Ligand,Receptor,B2M,CD3D,3.3254638
13,PRSS1,F2RL3,Acinar cell,Endothelial cell,3.2255435,0.0,Ligand,Receptor,PRSS1,F2RL3,3.2255435
14,APP,CD74,Ductal cell type 1,B cell,3.2236574,0.0,Ligand,Receptor,APP,CD74,3.2236574
15,TIMP1,CD63,Fibroblast cell,Endothelial cell,3.218851,0.0,Ligand,Receptor,TIMP1,CD63,3.218851
16,TIMP1,CD63,Fibroblast cell,Endocrine cell,3.213397,0.0,Ligand,Receptor,TIMP1,CD63,3.213397
17,B2M,CD3D,Ductal cell type 2,T cell,3.1909714,0.0,Ligand,Receptor,B2M,CD3D,3.1909714
18,B2M,CD3D,Endocrine cell,T cell,3.1757216,0.0,Ligand,Receptor,B2M,CD3D,3.1757216
19,B2M,CD3D,Ductal cell type 1,T cell,3.1704006,0.0,Ligand,Receptor,B2M,CD3D,3.1704006
20,APP,CD74,Fibroblast cell,Macrophage cell,3.1656463,0.0,Ligand,Receptor,APP,CD74,3.1656463
21,B2M,CD3D,Fibroblast cell,T cell,3.1435962,0.0,Ligand,Receptor,B2M,CD3D,3.1435962
22,APP,CD74,Endocrine cell,Macrophage cell,3.127323,0.0,Ligand,Receptor,APP,CD74,3.127323
23,TIMP1,CD63,Fibroblast cell,Acinar cell,3.1155522,0.0,Ligand,Receptor,TIMP1,CD63,3.1155522
24,B2M,CD3G,T cell,T cell,3.0835369,0.0,Ligand,Receptor,B2M,CD3G,3.0835369
25,SPINK1,EGFR,Acinar cell,Fibroblast cell,3.0647318,0.0,Ligand,Receptor,SPINK1,EGFR,3.0647318
26,SPINK1,EGFR,Acinar cell,Ductal cell type 1,3.0354438,0.0,Ligand,Receptor,SPINK1,EGFR,3.0354438
27,B2M,CD3G,Endothelial cell,T cell,3.0211287,0.0,Ligand,Receptor,B2M,CD3G,3.0211287
28,APP,CD74,Fibroblast cell,B cell,3.0147,0.0,Ligand,Receptor,APP,CD74,3.0147
29,SPINK1,EGFR,Acinar cell,Ductal cell type 2,3.0130816,0.0,Ligand,Receptor,SPINK1,EGFR,3.0130816
30,APP,CD74,Ductal cell type 2,Macrophage cell,2.9892244,0.0,Ligand,Receptor,APP,CD74,2.9892244
31,B2M,CD1C,T cell,Macrophage cell,2.9844933,0.0,Ligand,Receptor,B2M,CD1C,2.9844933
32,SPINK1,EGFR,Acinar cell,Acinar cell,2.9819975,0.0,Ligand,Receptor,SPINK1,EGFR,2.9819975
33,APP,CD74,Stellate cell,Macrophage cell,2.980437,0.0,Ligand,Receptor,APP,CD74,2.980437
34,APP,CD74,Endocrine cell,B cell,2.9763765,0.0,Ligand,Receptor,APP,CD74,2.9763765
35,PRSS1,F2RL1,Acinar cell,Ductal cell type 2,2.973135,0.0,Ligand,Receptor,PRSS1,F2RL1,2.973135
36,B2M,CD3D,Acinar cell,T cell,2.946485,0.0,Ligand,Receptor,B2M,CD3D,2.946485
37,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.9422905,0.0,Ligand,Receptor,TIMP1,CD63,2.9422905
38,PRSS1,F2R,Acinar cell,Endothelial cell,2.938164,0.0,Ligand,Receptor,PRSS1,F2R,2.938164
39,B2M,CD1C,Endothelial cell,Macrophage cell,2.922085,0.0,Ligand,Receptor,B2M,CD1C,2.922085
40,PRSS1,F2RL1,Acinar cell,Ductal cell type 1,2.9218967,0.0,Ligand,Receptor,PRSS1,F2RL1,2.9218967
41,B2M,CD3G,Macrophage cell,T cell,2.895796,0.0,Ligand,Receptor,B2M,CD3G,2.895796
42,B2M,CD3G,B cell,T cell,2.8846076,0.0,Ligand,Receptor,B2M,CD3G,2.8846076
43,PRSS1,F2RL2,Acinar cell,Fibroblast cell,2.884225,0.0,Ligand,Receptor,PRSS1,F2RL2,2.884225
44,APP,CD74,Acinar cell,Macrophage cell,2.8606308,0.0,Ligand,Receptor,APP,CD74,2.8606308
45,B2M,CD247,T cell,T cell,2.8548121,0.0,Ligand,Receptor,B2M,CD247,2.8548121
46,PRSS1,PARD3,Acinar cell,Acinar cell,2.85169,0.0,Ligand,Receptor,PRSS1,PARD3,2.85169
47,APP,CD74,Endothelial cell,Endothelial cell,2.8453574,0.0,Ligand,Receptor,APP,CD74,2.8453574
48,APP,CD74,Ductal cell type 2,B cell,2.8382778,0.0,Ligand,Receptor,APP,CD74,2.8382778
49,APP,CD74,Stellate cell,B cell,2.8294907,0.0,Ligand,Receptor,APP,CD74,2.8294907
50,B2M,CD3G,Stellate cell,T cell,2.8169765,0.0,Ligand,Receptor,B2M,CD3G,2.8169765
52,COPA,CD74,Ductal cell type 2,Macrophage cell,2.8105567,0.0,Ligand,Receptor,COPA,CD74,2.8105567
53,B2M,CD1C,Macrophage cell,Macrophage cell,2.7967525,0.0,Ligand,Receptor,B2M,CD1C,2.7967525
54,B2M,CD247,Endothelial cell,T cell,2.792404,0.0,Ligand,Receptor,B2M,CD247,2.792404
55,B2M,CD1C,B cell,Macrophage cell,2.785564,0.0,Ligand,Receptor,B2M,CD1C,2.785564
