,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,TIMP1,CD63,Stellate cell,Fibroblast cell,3.5749435,0.0,Ligand,Receptor,TIMP1,CD63,3.5749435
1,TIMP1,CD63,Macrophage cell,Fibroblast cell,3.5647414,0.0,Ligand,Receptor,TIMP1,CD63,3.5647414
2,TIMP1,CD63,Stellate cell,Stellate cell,3.4072237,0.0,Ligand,Receptor,TIMP1,CD63,3.4072237
3,TIMP1,CD63,Macrophage cell,Stellate cell,3.3970218,0.0,Ligand,Receptor,TIMP1,CD63,3.3970218
4,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,3.2787461,0.0,Ligand,Receptor,LGALS1,ITGB1,3.2787461
5,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.2500124,0.0,Ligand,Receptor,TIMP1,CD63,3.2500124
6,LGALS1,ITGB1,Fibroblast cell,Stellate cell,3.2426088,0.0,Ligand,Receptor,LGALS1,ITGB1,3.2426088
7,TIMP1,CD63,Stellate cell,Macrophage cell,3.2271872,0.0,Ligand,Receptor,TIMP1,CD63,3.2271872
8,TIMP1,CD63,Macrophage cell,Macrophage cell,3.2169852,0.0,Ligand,Receptor,TIMP1,CD63,3.2169852
9,SPP1,CD44,Ductal cell type 1,Ductal cell type 1,3.1784723,0.0,Ligand,Receptor,SPP1,CD44,3.1784723
10,TIMP1,CD63,Stellate cell,Endothelial cell,3.172779,0.0,Ligand,Receptor,TIMP1,CD63,3.172779
11,TIMP1,CD63,Macrophage cell,Endothelial cell,3.1625772,0.0,Ligand,Receptor,TIMP1,CD63,3.1625772
12,TIMP1,CD63,Fibroblast cell,Stellate cell,3.0822926,0.0,Ligand,Receptor,TIMP1,CD63,3.0822926
13,COL1A1,CD93,Fibroblast cell,Endothelial cell,3.0613744,0.0,Ligand,Receptor,COL1A1,CD93,3.0613744
14,SPP1,CD44,Ductal cell type 1,Macrophage cell,3.0529869,0.0,Ligand,Receptor,SPP1,CD44,3.0529869
15,APP,CD74,Endothelial cell,B cell,3.04741,0.0,Ligand,Receptor,APP,CD74,3.04741
16,LGALS1,ITGB1,Fibroblast cell,Endothelial cell,3.0357814,0.0,Ligand,Receptor,LGALS1,ITGB1,3.0357814
17,COL1A2,CD93,Fibroblast cell,Endothelial cell,3.012263,0.0,Ligand,Receptor,COL1A2,CD93,3.012263
