,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,B2M,CD3D,T cell,T cell,3.5669231,0.0,Ligand,Receptor,B2M,CD3D,3.5669231
1,APP,CD74,Endothelial cell,B cell,3.5355191,0.0,Ligand,Receptor,APP,CD74,3.5355191
2,B2M,CD3D,Endothelial cell,T cell,3.4684396,0.0,Ligand,Receptor,B2M,CD3D,3.4684396
3,B2M,CD3D,Ductal cell type 2,T cell,3.4469123,0.0,Ligand,Receptor,B2M,CD3D,3.4469123
4,B2M,CD3D,Stellate cell,T cell,3.346107,0.0,Ligand,Receptor,B2M,CD3D,3.346107
5,APP,CD74,Endothelial cell,Macrophage cell,3.3024411,0.0,Ligand,Receptor,APP,CD74,3.3024411
6,B2M,CD3D,Macrophage cell,T cell,3.2532296,0.0,Ligand,Receptor,B2M,CD3D,3.2532296
7,B2M,CD3D,B cell,T cell,3.2341018,0.0,Ligand,Receptor,B2M,CD3D,3.2341018
8,COL1A1,CD93,Fibroblast cell,Endothelial cell,3.1597114,0.0,Ligand,Receptor,COL1A1,CD93,3.1597114
9,COL1A2,CD93,Fibroblast cell,Endothelial cell,3.131425,0.0,Ligand,Receptor,COL1A2,CD93,3.131425
10,B2M,CD3D,Fibroblast cell,T cell,3.1215973,0.0,Ligand,Receptor,B2M,CD3D,3.1215973
11,B2M,CD3G,T cell,T cell,3.0740595,0.0,Ligand,Receptor,B2M,CD3G,3.0740595
12,APP,CD74,Fibroblast cell,B cell,3.067153,0.0,Ligand,Receptor,APP,CD74,3.067153
13,COL1A1,CD44,Fibroblast cell,Macrophage cell,2.9852133,0.0,Ligand,Receptor,COL1A1,CD44,2.9852133
14,TIMP1,CD63,Stellate cell,Stellate cell,2.9776683,0.0,Ligand,Receptor,TIMP1,CD63,2.9776683
15,TIMP1,CD63,Fibroblast cell,Stellate cell,2.9772656,0.0,Ligand,Receptor,TIMP1,CD63,2.9772656
16,B2M,CD3G,Endothelial cell,T cell,2.975576,0.0,Ligand,Receptor,B2M,CD3G,2.975576
17,TIMP1,CD63,Stellate cell,Fibroblast cell,2.964037,0.0,Ligand,Receptor,TIMP1,CD63,2.964037
18,TIMP1,CD63,Fibroblast cell,Fibroblast cell,2.963634,0.0,Ligand,Receptor,TIMP1,CD63,2.963634
19,APP,CD74,Ductal cell type 2,B cell,2.9632652,0.0,Ligand,Receptor,APP,CD74,2.9632652
20,COL1A2,CD44,Fibroblast cell,Macrophage cell,2.9569268,0.0,Ligand,Receptor,COL1A2,CD44,2.9569268
21,B2M,CD3G,Ductal cell type 2,T cell,2.9540489,0.0,Ligand,Receptor,B2M,CD3G,2.9540489
22,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.928709,0.0,Ligand,Receptor,LUM,ITGB1,2.928709
23,APP,CD74,Stellate cell,B cell,2.9074986,0.0,Ligand,Receptor,APP,CD74,2.9074986
24,TIMP1,CD63,Stellate cell,Macrophage cell,2.8939087,0.0,Ligand,Receptor,TIMP1,CD63,2.8939087
25,TIMP1,CD63,Fibroblast cell,Macrophage cell,2.893506,0.0,Ligand,Receptor,TIMP1,CD63,2.893506
26,HLA-B,CD3D,T cell,T cell,2.8870568,0.0,Ligand,Receptor,HLA-B,CD3D,2.8870568
27,LUM,ITGB1,Fibroblast cell,Stellate cell,2.8810482,0.0,Ligand,Receptor,LUM,ITGB1,2.8810482
28,SPARC,ENG,Fibroblast cell,Endothelial cell,2.8682737,0.0,Ligand,Receptor,SPARC,ENG,2.8682737
29,B2M,CD247,T cell,T cell,2.8662858,0.0,Ligand,Receptor,B2M,CD247,2.8662858
30,B2M,CD3G,Stellate cell,T cell,2.8532434,0.0,Ligand,Receptor,B2M,CD3G,2.8532434
31,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.85152,0.0,Ligand,Receptor,LUM,ITGB1,2.85152
32,TIMP1,CD63,Stellate cell,Endothelial cell,2.8414173,0.0,Ligand,Receptor,TIMP1,CD63,2.8414173
33,TIMP1,CD63,Fibroblast cell,Endothelial cell,2.8410144,0.0,Ligand,Receptor,TIMP1,CD63,2.8410144
34,HLA-A,CD3D,Endothelial cell,T cell,2.835631,0.0,Ligand,Receptor,HLA-A,CD3D,2.835631
35,APP,CD74,Fibroblast cell,Macrophage cell,2.834075,0.0,Ligand,Receptor,APP,CD74,2.834075
