,ligand,receptor,source,target,lr_means,cellphone_pvals,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
0,INS,INSR,Endocrine cell,Endothelial cell,4.129503,0.0,Ligand,Receptor,INS,INSR,4.129503
1,INS,INSR,Endocrine cell,Ductal cell type 2,3.4663591,0.0,Ligand,Receptor,INS,INSR,3.4663591
2,INS,INSR,Endocrine cell,Ductal cell type 1,3.458837,0.0,Ligand,Receptor,INS,INSR,3.458837
3,INS,IGF1R,Endocrine cell,Ductal cell type 1,3.3887708,0.0,Ligand,Receptor,INS,IGF1R,3.3887708
4,INS,IGF1R,Endocrine cell,Endocrine cell,3.3837678,0.0,Ligand,Receptor,INS,IGF1R,3.3837678
5,INS,INSR,Endocrine cell,Endocrine cell,3.3809927,0.0,Ligand,Receptor,INS,INSR,3.3809927
6,INS,LILRB2,Endocrine cell,Macrophage cell,3.3792458,0.0,Ligand,Receptor,INS,LILRB2,3.3792458
7,INS,INSR,Endocrine cell,Fibroblast cell,3.37917,0.0,Ligand,Receptor,INS,INSR,3.37917
8,INS,IGF1R,Endocrine cell,Fibroblast cell,3.368783,0.0,Ligand,Receptor,INS,IGF1R,3.368783
9,INS,IGF1R,Endocrine cell,Ductal cell type 2,3.3569825,0.0,Ligand,Receptor,INS,IGF1R,3.3569825
10,TIMP1,CD63,Stellate cell,Fibroblast cell,3.3310587,0.0,Ligand,Receptor,TIMP1,CD63,3.3310587
11,TIMP1,CD63,Stellate cell,Stellate cell,3.3173807,0.0,Ligand,Receptor,TIMP1,CD63,3.3173807
12,B2M,CD3D,T cell,T cell,3.298902,0.0,Ligand,Receptor,B2M,CD3D,3.298902
13,TIMP1,CD63,Stellate cell,Ductal cell type 2,3.2776008,0.0,Ligand,Receptor,TIMP1,CD63,3.2776008
14,B2M,CD3D,Endothelial cell,T cell,3.2340457,0.0,Ligand,Receptor,B2M,CD3D,3.2340457
15,B2M,CD3D,Stellate cell,T cell,3.2228432,0.0,Ligand,Receptor,B2M,CD3D,3.2228432
16,TIMP1,CD63,Fibroblast cell,Fibroblast cell,3.1929893,0.0,Ligand,Receptor,TIMP1,CD63,3.1929893
17,TIMP1,CD63,Fibroblast cell,Stellate cell,3.1793113,0.0,Ligand,Receptor,TIMP1,CD63,3.1793113
18,B2M,CD3D,Macrophage cell,T cell,3.1632254,0.0,Ligand,Receptor,B2M,CD3D,3.1632254
19,TIMP1,CD63,Stellate cell,Endothelial cell,3.1522105,0.0,Ligand,Receptor,TIMP1,CD63,3.1522105
20,TIMP1,CD63,Stellate cell,Macrophage cell,3.1477175,0.0,Ligand,Receptor,TIMP1,CD63,3.1477175
21,TIMP1,CD63,Fibroblast cell,Ductal cell type 2,3.1395311,0.0,Ligand,Receptor,TIMP1,CD63,3.1395311
22,B2M,CD3D,Ductal cell type 2,T cell,3.1265612,0.0,Ligand,Receptor,B2M,CD3D,3.1265612
23,TIMP1,CD63,Stellate cell,Ductal cell type 1,3.1019497,0.0,Ligand,Receptor,TIMP1,CD63,3.1019497
24,B2M,CD3D,Ductal cell type 1,T cell,3.0406685,0.0,Ligand,Receptor,B2M,CD3D,3.0406685
25,LUM,ITGB1,Fibroblast cell,Stellate cell,3.0188704,0.0,Ligand,Receptor,LUM,ITGB1,3.0188704
29,APP,CD74,Endothelial cell,Macrophage cell,2.9995627,0.0,Ligand,Receptor,APP,CD74,2.9995627
30,LUM,ITGB1,Fibroblast cell,Endothelial cell,2.973175,0.0,Ligand,Receptor,LUM,ITGB1,2.973175
32,LGALS1,ITGB1,Fibroblast cell,Stellate cell,2.914391,0.0,Ligand,Receptor,LGALS1,ITGB1,2.914391
33,LUM,ITGB1,Fibroblast cell,Fibroblast cell,2.8914666,0.0,Ligand,Receptor,LUM,ITGB1,2.8914666
35,LGALS1,ITGB1,Fibroblast cell,Endothelial cell,2.8686955,0.0,Ligand,Receptor,LGALS1,ITGB1,2.8686955
36,B2M,CD3G,T cell,T cell,2.8651748,0.0,Ligand,Receptor,B2M,CD3G,2.8651748
38,B2M,CD3D,Fibroblast cell,T cell,2.8484352,0.0,Ligand,Receptor,B2M,CD3D,2.8484352
40,LUM,ITGB1,Fibroblast cell,Ductal cell type 2,2.8219314,0.0,Ligand,Receptor,LUM,ITGB1,2.8219314
43,B2M,CD3G,Endothelial cell,T cell,2.8003185,0.0,Ligand,Receptor,B2M,CD3G,2.8003185
45,B2M,CD3G,Stellate cell,T cell,2.789116,0.0,Ligand,Receptor,B2M,CD3G,2.789116
46,LGALS1,ITGB1,Fibroblast cell,Fibroblast cell,2.786987,0.0,Ligand,Receptor,LGALS1,ITGB1,2.786987
47,B2M,CD3D,Endocrine cell,T cell,2.7862227,0.0,Ligand,Receptor,B2M,CD3D,2.7862227
50,B2M,TFRC,T cell,Macrophage cell,2.7550302,0.0,Ligand,Receptor,B2M,TFRC,2.7550302
52,LGALS1,ITGB1,Macrophage cell,Stellate cell,2.746176,0.0,Ligand,Receptor,LGALS1,ITGB1,2.746176
55,SPP1,ITGA5,Ductal cell type 1,Endothelial cell,2.7333112,0.0,Ligand,Receptor,SPP1,ITGA5,2.7333112
56,B2M,CD3G,Macrophage cell,T cell,2.7294981,0.0,Ligand,Receptor,B2M,CD3G,2.7294981
57,LGALS1,ITGB1,Stellate cell,Stellate cell,2.7262325,0.0,Ligand,Receptor,LGALS1,ITGB1,2.7262325
58,B2M,CD3D,T cell,Endocrine cell,2.7249675,0.0,Ligand,Receptor,B2M,CD3D,2.7249675
60,LGALS1,ITGB1,Fibroblast cell,Ductal cell type 2,2.717452,0.0,Ligand,Receptor,LGALS1,ITGB1,2.717452
61,SPP1,ITGA5,Macrophage cell,Endothelial cell,2.7113695,0.0,Ligand,Receptor,SPP1,ITGA5,2.7113695
62,B2M,CD247,T cell,T cell,2.7101085,0.0,Ligand,Receptor,B2M,CD247,2.7101085
63,LGALS1,ITGB1,Macrophage cell,Endothelial cell,2.7004805,0.0,Ligand,Receptor,LGALS1,ITGB1,2.7004805
65,B2M,CD3G,Ductal cell type 2,T cell,2.692834,0.0,Ligand,Receptor,B2M,CD3G,2.692834
66,B2M,TFRC,Endothelial cell,Macrophage cell,2.6901739,0.0,Ligand,Receptor,B2M,TFRC,2.6901739
67,SPP1,CD44,Ductal cell type 1,Macrophage cell,2.6844807,0.0,Ligand,Receptor,SPP1,CD44,2.6844807
69,LUM,ITGB1,Fibroblast cell,Ductal cell type 1,2.6817644,0.0,Ligand,Receptor,LUM,ITGB1,2.6817644
70,LGALS1,ITGB1,Stellate cell,Endothelial cell,2.6805372,0.002,Ligand,Receptor,LGALS1,ITGB1,2.6805372
71,B2M,TFRC,Stellate cell,Macrophage cell,2.6789713,0.0,Ligand,Receptor,B2M,TFRC,2.6789713
74,SPP1,CD44,Macrophage cell,Macrophage cell,2.662539,0.0,Ligand,Receptor,SPP1,CD44,2.662539
75,SPP1,CD44,Ductal cell type 1,Ductal cell type 1,2.662307,0.0,Ligand,Receptor,SPP1,CD44,2.662307
76,B2M,CD3D,Endothelial cell,Endocrine cell,2.6601112,0.0,Ligand,Receptor,B2M,CD3D,2.6601112
77,APP,CD74,Ductal cell type 1,Macrophage cell,2.6557364,0.0,Ligand,Receptor,APP,CD74,2.6557364
78,COL1A2,CD93,Fibroblast cell,Endothelial cell,2.6522312,0.0,Ligand,Receptor,COL1A2,CD93,2.6522312
79,B2M,CD3D,Stellate cell,Endocrine cell,2.6489086,0.0,Ligand,Receptor,B2M,CD3D,2.6489086
80,B2M,CD1C,T cell,Macrophage cell,2.6462748,0.0,Ligand,Receptor,B2M,CD1C,2.6462748
81,B2M,CD247,Endothelial cell,T cell,2.6452522,0.0,Ligand,Receptor,B2M,CD247,2.6452522
83,SPP1,CD44,Macrophage cell,Ductal cell type 1,2.6403654,0.0,Ligand,Receptor,SPP1,CD44,2.6403654
86,B2M,CD247,Stellate cell,T cell,2.6340497,0.0,Ligand,Receptor,B2M,CD247,2.6340497
87,B2M,CD3D,T cell,Macrophage cell,2.6314187,0.0,Ligand,Receptor,B2M,CD3D,2.6314187
90,B2M,TFRC,T cell,Endocrine cell,2.6270173,0.0,Ligand,Receptor,B2M,TFRC,2.6270173
91,B2M,TFRC,T cell,Ductal cell type 1,2.6264744,0.0,Ligand,Receptor,B2M,TFRC,2.6264744
93,B2M,TFRC,Macrophage cell,Macrophage cell,2.6193535,0.0,Ligand,Receptor,B2M,TFRC,2.6193535
94,LGALS1,ITGB1,Macrophage cell,Fibroblast cell,2.6187723,0.0,Ligand,Receptor,LGALS1,ITGB1,2.6187723
95,B2M,CD3G,Ductal cell type 1,T cell,2.6069412,0.0,Ligand,Receptor,B2M,CD3G,2.6069412
96,B2M,CD3D,T cell,Ductal cell type 1,2.6044953,0.0,Ligand,Receptor,B2M,CD3D,2.6044953
97,B2M,CD3D,T cell,Fibroblast cell,2.5995193,0.0,Ligand,Receptor,B2M,CD3D,2.5995193
98,LGALS1,ITGB1,Stellate cell,Fibroblast cell,2.5988288,0.0,Ligand,Receptor,LGALS1,ITGB1,2.5988288
99,B2M,CD3D,T cell,Ductal cell type 2,2.5954943,0.0,Ligand,Receptor,B2M,CD3D,2.5954943
100,B2M,LILRB2,T cell,Macrophage cell,2.5948884,0.0,Ligand,Receptor,B2M,LILRB2,2.5948884
102,B2M,CD3D,Macrophage cell,Endocrine cell,2.5892909,0.0,Ligand,Receptor,B2M,CD3D,2.5892909
103,APP,CD74,Endothelial cell,Ductal cell type 1,2.585104,0.0,Ligand,Receptor,APP,CD74,2.585104
105,B2M,TFRC,Ductal cell type 2,Macrophage cell,2.5826893,0.0,Ligand,Receptor,B2M,TFRC,2.5826893
106,B2M,CD1C,Endothelial cell,Macrophage cell,2.5814185,0.0,Ligand,Receptor,B2M,CD1C,2.5814185
107,COL1A1,CD93,Fibroblast cell,Endothelial cell,2.579134,0.0,Ligand,Receptor,COL1A1,CD93,2.579134
108,B2M,TFRC,T cell,Ductal cell type 2,2.5786023,0.0,Ligand,Receptor,B2M,TFRC,2.5786023
